,CID,Name,Party,Cycle,Industry,Industry Code,Total,PACs,Individuals,Origin,Last Updated,Source,industrypercent,candtotal
0,N00001143,Gary Ackerman,D,2012,Pro-Israel,Q05,39398,2000,37398,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00001143&cycle=2012,0.220103017911,178998
1,N00001143,Gary Ackerman,D,2012,Lawyers/Law Firms,K01,20250,12000,8250,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00001143&cycle=2012,0.11312975564,178998
2,N00001143,Gary Ackerman,D,2012,Retired,W06,18500,0,18500,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00001143&cycle=2012,0.103353110091,178998
3,N00001143,Gary Ackerman,D,2012,Public Sector Unions,P04,18000,18000,0,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00001143&cycle=2012,0.100559782791,178998
4,N00001143,Gary Ackerman,D,2012,Securities & Investment,F07,17750,15000,2750,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00001143&cycle=2012,0.099163119141,178998
5,N00001143,Gary Ackerman,D,2012,Real Estate,F10,16800,9500,7300,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00001143&cycle=2012,0.0938557972715,178998
6,N00001143,Gary Ackerman,D,2012,Insurance,F09,16300,13000,3300,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00001143&cycle=2012,0.0910624699717,178998
7,N00001143,Gary Ackerman,D,2012,Industrial Unions,P02,12000,12000,0,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00001143&cycle=2012,0.0670398551939,178998
8,N00001143,Gary Ackerman,D,2012,Building Trade Unions,P01,11500,11500,0,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00001143&cycle=2012,0.0642465278942,178998
9,N00001143,Gary Ackerman,D,2012,Transportation Unions,P03,8500,8500,0,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00001143&cycle=2012,0.0474865640957,178998
10,N00030926,Sandy Adams,R,2012,Leadership PACs,Q03,75946,75946,0,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00030926&cycle=2012,0.219079213062,346660
11,N00030926,Sandy Adams,R,2012,Health Professionals,H01,56150,16000,40150,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00030926&cycle=2012,0.161974268736,346660
12,N00030926,Sandy Adams,R,2012,Real Estate,F10,34100,15500,18600,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00030926&cycle=2012,0.0983672762938,346660
13,N00030926,Sandy Adams,R,2012,Accountants,F11,31911,31911,0,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00030926&cycle=2012,0.0920527317833,346660
14,N00030926,Sandy Adams,R,2012,Insurance,F09,30600,23500,7100,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00030926&cycle=2012,0.0882709282871,346660
15,N00030926,Sandy Adams,R,2012,Retired,W06,24737,0,24737,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00030926&cycle=2012,0.0713581030404,346660
16,N00030926,Sandy Adams,R,2012,Food & Beverage,N01,24600,19700,4900,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00030926&cycle=2012,0.0709629031328,346660
17,N00030926,Sandy Adams,R,2012,Candidate Committees,Q16,24500,24500,0,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00030926&cycle=2012,0.0706744360468,346660
18,N00030926,Sandy Adams,R,2012,"Beer, Wine & Liquor",N02,23866,22200,1666,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00030926&cycle=2012,0.0688455547222,346660
19,N00030926,Sandy Adams,R,2012,TV/Movies/Music,B02,20250,19000,1250,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00030926&cycle=2012,0.0584145848959,346660
20,N00003028,Robert B. Aderholt,R,2012,Misc Defense,D03,62000,38500,23500,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00003028&cycle=2012,0.14813859082,418527
21,N00003028,Robert B. Aderholt,R,2012,Lawyers/Law Firms,K01,59246,35500,23746,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00003028&cycle=2012,0.141558370189,418527
22,N00003028,Robert B. Aderholt,R,2012,Defense Aerospace,D01,54500,51500,3000,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00003028&cycle=2012,0.130218599995,418527
23,N00003028,Robert B. Aderholt,R,2012,Computers/Internet,B12,47250,35000,12250,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00003028&cycle=2012,0.112895942197,418527
24,N00003028,Robert B. Aderholt,R,2012,Defense Electronics,D02,40000,39000,1000,Center for Responsive Politics,03/25/2013,http://www.opensecrets.org/politicians/industries.php?cid=N00003028&cycle=2012,0.0955732843998,418527
