Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2015-10-09,2816.46,2851.65,2811.23,255125832388.0,467976.0
2015-10-08,2843.27,2843.27,2805.29,257267848366.0,14351096.0
2015-10-07,2820.13,2820.76,2784.94,255868968611.0,2844502.0
2015-10-06,2776.0,2790.95,2765.56,251819042891.0,2691317.0
2015-10-05,2785.29,2785.88,2748.49,252661727772.0,12760817.0
2015-10-02,2731.27,2731.27,2664.17,247761196409.0,2968570.0
2015-10-01,2763.29,2774.15,2737.27,250665957916.0,6995195.0
2015-09-30,2770.27,2771.11,2748.58,251299911041.0,2366723.0
2015-09-29,2736.55,2744.04,2728.39,248245198821.0,21470987.0
2015-09-28,2734.84,2759.67,2732.73,248069277807.0,200295055.0
2015-09-25,2770.98,2796.05,2768.14,251347830169.0,18577884.0
2015-09-24,2756.79,2758.94,2714.26,250060925052.0,7007495.0
2015-09-23,2739.62,2751.5,2722.1,248502856427.0,7447753.0
2015-09-22,2721.37,2727.67,2706.71,246851636236.0,0.0
2015-09-21,2742.59,2753.67,2723.08,248776592335.0,623925.0
2015-09-18,2707.18,2716.34,2694.85,245300312030.0,0.0
2015-09-17,2754.59,2830.05,2748.45,249596035897.0,214428.0
2015-09-16,2806.47,2808.66,2782.5,254296664651.0,7438056.0
2015-09-15,2801.39,2806.35,2774.69,253907680935.0,58215185.0
2015-09-14,2770.16,2782.52,2756.9,251077677057.0,2931019.0
2015-09-11,2762.58,2762.58,2737.3,250390461578.0,46767714.0
2015-09-10,2759.81,2769.53,2730.66,250131755848.0,8844387.0
2015-09-09,2737.7,2781.1,2736.1,248124532585.0,58283473.0
2015-09-08,2755.45,2756.33,2721.92,249672820648.0,20213975.0
2015-09-04,2689.98,2696.33,2673.47,243740921134.0,5331578.0
2015-09-03,2704.69,2721.76,2690.07,245073727603.0,33875703.0
2015-09-02,2690.25,2691.08,2655.68,243765643248.0,49518128.0
2015-09-01,2654.01,2706.06,2646.1,240482109915.0,4159371.0
2015-08-31,2748.2,2750.85,2712.25,249130362657.0,73774.0
2015-08-28,2728.95,2737.71,2709.51,247262067451.0,58074000.0
2015-08-27,2724.46,2740.69,2693.46,246785406038.0,31268098.0
2015-08-26,2681.16,2681.16,2619.51,242856321083.0,10147591.0
2015-08-25,2603.63,2710.02,2603.17,235759151291.0,0.0
2015-08-24,2638.52,2714.14,2617.11,238918801717.0,0.0
2015-08-21,2762.34,2791.26,2749.44,250136496347.0,0.0
2015-08-20,2788.07,2834.77,2788.07,252473065042.0,0.0
2015-08-19,2857.05,2884.91,2855.83,258710480201.0,5972050.0
2015-08-18,2889.69,2907.51,2880.43,261544158203.0,18018703.0
2015-08-17,2894.59,2909.36,2861.88,261967661841.0,0.0
2015-08-14,2889.07,2889.07,2848.02,261638779285.0,1188457.0
2015-08-13,2851.36,2861.3,2835.0,258224470412.0,55986902.0
2015-08-12,2839.74,2870.18,2812.53,257172170351.0,50803075.0
2015-08-11,2889.63,2910.02,2875.56,261588589006.0,29035822.0
2015-08-10,2924.37,2924.37,2901.42,264733289024.0,19396415.0
2015-08-07,2884.61,2906.77,2869.06,261134952156.0,2425964.0
2015-08-06,2899.38,2924.89,2892.89,262285936774.0,25357608.0
2015-08-05,2917.78,2938.34,2903.54,263950374752.0,63914064.0
2015-08-04,2894.24,2911.91,2886.68,261820407276.0,18246463.0
2015-08-03,2885.56,2888.74,2863.82,261034894386.0,49416573.0
2015-07-31,2883.31,2893.2,2872.13,263429785314.0,17934245.0
2015-07-30,2887.25,2888.88,2863.36,263789812922.0,85577132.0
2015-07-29,2875.03,2879.89,2859.05,262673508741.0,71177832.0
2015-07-28,2868.49,2882.59,2851.26,262075644570.0,18260159.0
2015-07-27,2868.95,2877.21,2859.12,262118298963.0,261662.0
2015-07-24,2889.89,2917.09,2888.97,264031280136.0,760334.0
2015-07-23,2914.1,2965.33,2913.45,265694694899.0,3048518.0
2015-07-22,2952.71,2962.04,2917.84,269215003922.0,9572214.0
2015-07-21,2921.74,2961.27,2918.21,266103784050.0,0.0
2015-07-20,2933.3,2935.23,2917.02,267156949635.0,3992122.0
2015-07-17,2920.48,2938.15,2902.14,265871987224.0,391330.0
2015-07-16,2940.32,2958.69,2938.35,267556060663.0,1057528.0
2015-07-15,2932.27,2940.25,2919.5,266823827968.0,12148357.0
2015-07-14,2920.3,2920.3,2898.88,265583691136.0,0.0
2015-07-13,2912.65,2914.7,2903.1,264888035019.0,12749575.0
2015-07-10,2890.91,2891.84,2876.02,262911368477.0,0.0
2015-07-09,2856.13,2865.83,2844.31,259718381125.0,0.0
2015-07-08,2825.42,2833.66,2815.94,256925729505.0,17770133.0
2015-07-07,2846.8,2876.58,2817.64,258739384891.0,0.0
2015-07-06,2879.31,2880.9,2847.56,261693798195.0,18347598.0
2015-07-02,2877.95,2913.68,2867.26,261538675266.0,3340224.0
2015-07-01,2916.54,2923.52,2901.55,265151110212.0,3731878.0
2015-06-30,2882.8,2911.21,2874.05,262838697085.0,0.0
2015-06-29,2873.42,2923.43,2873.42,261983018890.0,24256747.0
2015-06-26,2940.7,2947.99,2931.84,268117245725.0,177784320.0
2015-06-25,2930.41,2945.19,2919.48,267179375651.0,7074645.0
2015-06-24,2923.05,2940.34,2922.34,266508579821.0,8859505.0
2015-06-23,2938.64,2938.66,2920.16,267930043718.0,468484.0
2015-06-22,2914.77,2914.77,2894.74,265744780391.0,242932.0
2015-06-19,2877.47,2884.94,2873.68,262244392951.0,0.0
2015-06-18,2878.97,2882.98,2848.08,262381001759.0,0.0
2015-06-17,2855.34,2904.88,2851.88,260227474114.0,4658128.0
2015-06-16,2896.35,2896.35,2861.26,263965143732.0,0.0
2015-06-15,2870.15,2880.81,2844.86,261576803033.0,64441904.0
2015-06-12,2875.11,2876.93,2863.13,262029591962.0,12578283.0
2015-06-11,2877.31,2881.53,2862.29,261944460659.0,42631288.0
2015-06-10,2879.9,2888.56,2853.93,262180580194.0,57758178.0
2015-06-09,2842.52,2851.39,2811.81,258812182095.0,4053738.0
2015-06-08,2820.03,2828.51,2811.91,256764547584.0,16760370.0
2015-06-05,2818.62,2818.62,2782.96,256636649929.0,3179322.0
2015-06-04,2772.33,2788.9,2765.63,252421952040.0,3896096.0
