Trade Date,Index Value,High,Low,Total Market Value,Dividend Market Value
2015-10-09,4037.33,4046.84,4012.84,2403276149153.0,12477187.0
2015-10-08,4025.1,4031.34,3963.62,2396265606669.0,1922580.0
2015-10-07,3993.23,3996.44,3947.17,2377292585085.0,39360562.0
2015-10-06,3955.81,3997.05,3938.86,2355212198263.0,5535817.0
2015-10-05,3984.11,3988.28,3941.72,2372151273941.0,646485562.0
2015-10-02,3911.42,3911.42,3781.06,2329379280772.0,3140421.0
2015-10-01,3835.69,3835.83,3784.63,2285450588675.0,2347801.0
2015-09-30,3814.1,3817.3,3765.82,2272121675552.0,61277801.0
2015-09-29,3738.89,3786.04,3718.57,2227249640784.0,33813643.0
2015-09-28,3761.79,3871.81,3753.54,2241025343070.0,400181683.0
2015-09-25,3888.45,3945.83,3871.47,2316478649392.0,49222676.0
2015-09-24,3909.97,3916.33,3859.68,2329299920097.0,7417718.0
2015-09-23,3918.88,3939.85,3905.07,2334565567297.0,82333109.0
2015-09-22,3930.93,3944.51,3905.62,2341747634774.0,348137.0
2015-09-21,3986.75,4013.39,3966.38,2375069831291.0,0.0
2015-09-18,3963.57,4012.89,3957.08,2367576887690.0,0.0
2015-09-17,4018.92,4072.39,4004.58,2400633925074.0,26711834.0
2015-09-16,4005.62,4009.44,3958.39,2392684790172.0,13887313.0
2015-09-15,3956.76,3964.0,3901.29,2363583052849.0,3654571.0
2015-09-14,3913.79,3938.4,3904.39,2337912875706.0,109943708.0
2015-09-11,3939.06,3939.06,3894.8,2353065439295.0,175660531.0
2015-09-10,3923.38,3947.16,3901.83,2343700739857.0,11282013.0
2015-09-09,3915.43,3993.2,3909.1,2338947924057.0,291761723.0
2015-09-08,3952.75,3955.16,3913.5,2361225836598.0,64141647.0
2015-09-04,3866.17,3886.21,3847.12,2309507473029.0,321203303.0
2015-09-03,3910.2,3955.11,3900.43,2335939576054.0,9162169.0
2015-09-02,3907.41,3907.45,3845.56,2334450466155.0,95791762.0
2015-09-01,3835.41,3899.37,3815.54,2291446555451.0,0.0
2015-08-31,3944.4,3972.94,3929.66,2356562171920.0,20262347.0
2015-08-28,3976.27,3987.85,3945.09,2375593284139.0,131661072.0
2015-08-27,3959.9,3970.2,3888.45,2365798055715.0,11740866.0
2015-08-26,3856.41,3862.32,3733.57,2303730203806.0,67541954.0
2015-08-25,3727.82,3852.25,3727.82,2226769849687.0,27542898.0
2015-08-24,3736.83,3856.23,3541.13,2232112504964.0,144006998.0
2015-08-21,3887.25,3984.64,3887.25,2321756063130.0,42909444.0
2015-08-20,4012.32,4092.75,4012.29,2396455571825.0,34933747.0
2015-08-19,4121.51,4152.54,4103.71,2461672558460.0,35788958.0
2015-08-18,4155.64,4177.22,4151.05,2481979256239.0,107107077.0
2015-08-17,4179.77,4180.04,4127.31,2496230922615.0,405217140.0
2015-08-14,4145.91,4147.28,4126.68,2476233626091.0,20446119.0
2015-08-13,4136.18,4159.08,4127.54,2470000553635.0,78159947.0
2015-08-12,4131.68,4139.78,4065.25,2467211974821.0,379634406.0
2015-08-11,4138.5,4162.06,4118.36,2471058140755.0,39983599.0
2015-08-10,4180.4,4191.83,4169.88,2496414901505.0,74925671.0
2015-08-07,4152.12,4170.68,4127.36,2479522492481.0,68816951.0
2015-08-06,4168.47,4236.75,4148.15,2488610313134.0,97616750.0
2015-08-05,4241.3,4273.96,4238.12,2531046193272.0,108183434.0
2015-08-04,4230.94,4243.46,4218.91,2518787151042.0,255188057.0
2015-08-03,4223.13,4240.72,4198.96,2514292389235.0,60861731.0
2015-07-31,4233.15,4247.62,4224.73,2518509703236.0,58736665.0
2015-07-30,4219.57,4225.26,4176.79,2510434425815.0,255114233.0
2015-07-29,4202.46,4207.94,4168.28,2500357706685.0,63969850.0
2015-07-28,4166.54,4171.75,4116.13,2477663515563.0,0.0
2015-07-27,4125.71,4162.14,4117.83,2453382055975.0,0.0
2015-07-24,4164.25,4240.4,4160.58,2528428630400.0,82947218.0
2015-07-23,4158.03,4205.73,4150.54,2524503395523.0,673947155.0
2015-07-22,4202.15,4213.17,4192.6,2545967572312.0,6861669.0
2015-07-21,4201.25,4218.46,4196.39,2545471708804.0,0.0
2015-07-20,4217.15,4228.08,4208.69,2556619448970.0,591235.0
2015-07-17,4211.01,4217.65,4197.17,2552750878201.0,3898612.0
2015-07-16,4214.22,4214.28,4186.81,2553487020059.0,0.0
2015-07-15,4152.34,4175.11,4145.0,2515960334432.0,39288637.0
2015-07-14,4176.85,4184.37,4165.27,2476137447702.0,13127058.0
2015-07-13,4166.37,4169.3,4137.41,2469682741337.0,12818060.0
2015-07-10,4108.67,4114.69,4084.64,2435478537721.0,8788253.0
2015-07-09,4047.17,4080.96,4047.17,2399019193794.0,38267398.0
2015-07-08,4019.1,4066.05,4010.74,2382377463760.0,15687491.0
2015-07-07,4084.67,4088.94,4005.96,2420711083451.0,4996045.0
2015-07-06,4066.97,4089.75,4046.71,2410616902699.0,0.0
2015-07-02,4079.35,4101.61,4065.25,2427725728157.0,25215392.0
2015-07-01,4083.2,4093.88,4070.15,2430062346623.0,1954185.0
2015-06-30,4053.63,4069.44,4037.77,2412735958365.0,79662741.0
2015-06-29,4034.71,4105.4,4031.78,2401477066260.0,641203633.0
2015-06-26,4131.78,4149.83,4116.04,2458178379938.0,402238767.0
2015-06-25,4133.04,4150.05,4125.89,2458904358535.0,4796961.0
2015-06-24,4136.34,4168.52,4133.75,2460848644411.0,79130347.0
2015-06-23,4170.04,4171.0,4150.1,2480576926463.0,1870453.0
2015-06-22,4155.3,4164.41,4149.34,2471812346641.0,0.0
2015-06-19,4141.2,4156.33,4140.33,2468285427395.0,0.0
2015-06-18,4149.1,4157.23,4113.97,2472827918669.0,3536143.0
2015-06-17,4100.36,4111.3,4078.14,2443782153102.0,26694360.0
2015-06-16,4088.58,4090.39,4059.26,2436747582467.0,15683339.0
2015-06-15,4062.53,4068.1,4037.97,2421139935217.0,16979022.0
2015-06-12,4088.05,4093.17,4080.52,2435475744482.0,26281285.0
2015-06-11,4100.86,4112.12,4094.33,2443104212958.0,184646349.0
2015-06-10,4094.4,4105.33,4066.75,2439258207040.0,298356076.0
2015-06-09,4056.53,4065.7,4028.84,2417052830685.0,39635546.0
2015-06-08,4054.1,4084.77,4051.61,2412403606835.0,20545828.0
2015-06-05,4089.92,4093.9,4056.06,2433090395698.0,93131442.0
2015-06-04,4085.09,4115.26,4079.08,2430097098145.0,8788253.0
2015-06-03,4115.21,4121.42,4096.46,2448015502381.0,36447155.0
2015-06-02,4092.18,4109.58,4070.39,2434164606890.0,0.0
2015-06-01,4089.83,4103.01,4062.72,2433143542559.0,37650136.0
2015-05-29,4079.58,4100.91,4074.53,2427044242406.0,2946038.0
2015-05-28,4097.88,4102.68,4083.69,2438167496880.0,153231239.0
2015-05-27,4108.17,4111.35,4075.66,2444152388040.0,61469498.0
2015-05-26,4074.1,4104.64,4062.37,2420849799153.0,32139313.0
2015-05-22,4107.47,4121.1,4105.26,2440676799605.0,14940230.0
2015-05-21,4115.01,4122.99,4092.84,2445154232545.0,57023231.0
2015-05-20,4092.3,4109.34,4076.38,2431644763142.0,252337409.0
2015-05-19,4094.37,4107.43,4085.99,2432768964952.0,405933095.0
2015-05-18,4100.78,4105.32,4082.54,2435851218232.0,23734895.0
2015-05-15,4088.27,4088.27,4070.81,2428130407408.0,81560355.0
2015-05-14,4076.45,4077.62,4045.6,2420971694899.0,73551487.0
2015-05-13,4032.65,4061.39,4029.12,2394899022190.0,122407678.0
2015-05-12,4041.64,4055.35,4011.89,2399434677446.0,10689899.0
2015-05-11,4053.2,4077.53,4052.82,2406286074774.0,63143711.0
2015-05-08,4058.11,4074.64,4057.26,2408223173146.0,2292869.0
2015-05-07,4032.45,4036.8,4001.09,2392975293737.0,328061380.0
2015-05-06,4019.9,4048.56,4000.15,2385521694062.0,100870704.0
2015-05-05,4034.7,4086.12,4031.44,2392520726193.0,271448623.0
2015-05-04,4079.16,4098.55,4076.7,2418850857854.0,53429920.0
2015-05-01,4067.62,4068.07,4036.51,2412011207309.0,58200189.0
2015-04-30,4032.68,4085.69,4018.32,2391293587557.0,10655496.0
2015-04-29,4084.24,4103.16,4072.59,2421867401888.0,312440871.0
2015-04-28,4104.69,4112.24,4077.89,2433975560468.0,9482498.0
2015-04-27,4107.54,4148.72,4103.89,2435662167903.0,15253579.0
2015-04-24,4130.71,4139.77,4125.6,2449586010096.0,82737961.0
2015-04-23,4079.7,4095.42,4054.56,2419338843781.0,17861476.0
2015-04-22,4052.99,4057.19,4029.78,2403496132580.0,0.0
2015-04-21,4046.09,4054.71,4039.17,2398866169229.0,0.0
2015-04-20,4034.32,4039.5,4015.48,2391889978906.0,0.0
2015-04-17,3995.98,4030.98,3980.73,2369160297868.0,3892783.0
2015-04-16,4061.19,4067.86,4054.4,2404493239751.0,6333132.0
2015-04-15,4060.97,4071.66,4053.03,2404353623997.0,26925581.0
2015-04-14,4045.06,4054.1,4021.3,2394734490027.0,19082368.0
2015-04-13,4044.29,4068.96,4042.76,2394116641090.0,3604727.0
2015-04-10,4055.38,4057.74,4045.09,2400660566066.0,0.0
2015-04-09,4045.4,4046.4,4007.65,2394725874334.0,42041673.0
2015-04-08,4029.79,4030.5,4001.78,2385439418721.0,383666848.0
2015-04-07,3997.33,4021.01,3996.81,2364537340009.0,5415935.0
2015-04-06,4012.2,4022.92,3961.61,2373325866723.0,10570340.0
2015-04-02,3980.38,3985.64,3951.13,2354095678434.0,25545069.0
2015-04-01,3953.72,3962.91,3930.06,2337869884910.0,1852755.0
2015-03-31,3961.63,3989.54,3959.79,2342552248539.0,33418300.0
2015-03-30,3983.43,3987.63,3959.08,2355395507507.0,647890246.0
2015-03-27,3939.35,3943.99,3914.28,2329453133432.0,407084648.0
2015-03-26,3919.13,3936.16,3906.03,2316697259703.0,169746102.0
2015-03-25,3942.12,4012.11,3942.12,2330287377202.0,76838442.0
2015-03-24,3989.04,4006.43,3988.99,2357848508808.0,1058523.0
2015-03-23,4000.04,4019.18,3998.18,2364344617615.0,1870453.0
2015-03-20,3998.51,4005.79,3985.85,2371133601888.0,1982116.0
2015-03-19,3963.54,3975.9,3954.97,2350395268491.0,0.0
2015-03-18,3971.99,3982.25,3908.63,2355405700484.0,39859647.0
2015-03-17,3935.6,3942.88,3916.93,2333749705685.0,1707128.0
2015-03-16,3944.32,3946.26,3923.39,2339761747091.0,15223699.0
2015-03-13,3911.03,3935.69,3889.56,2310916418643.0,35443832.0
