CID,Name,Party,Cycle,Industry,Industry Code,Total,PACs,Individuals,Origin,Last Updated,Source,,,,,,,
N00027658,Kirsten Gillibrand,D,2014,Lawyers/Law Firms,K01,4308733,319942,3988791,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027658&cycle=2014,,,,,,,
N00001093,Charles E. Schumer,D,2014,Securities & Investment,F07,3913455,274800,3638655,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00001093&cycle=2014,,,,,,,209382484
N00009922,Harry Reid,D,2014,Lawyers/Law Firms,K01,3759947,332446,3427501,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00009922&cycle=2014,,,,,,,164502035
N00033492,Elizabeth Warren,D,2014,Retired,W06,3484449,0,3484449,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033492&cycle=2014,,,,,,,1433993516
N00027658,Kirsten Gillibrand,D,2014,Securities & Investment,F07,3114615,315300,2799315,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027658&cycle=2014,,,,,,,
N00030612,Marco Rubio,R,2014,Retired,W06,2883271,0,2883271,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030612&cycle=2014,,,,,,,
N00001093,Charles E. Schumer,D,2014,Lawyers/Law Firms,K01,2636247,321664,2314583,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00001093&cycle=2014,,,,,,,
N00027694,Claire McCaskill,D,2014,Lawyers/Law Firms,K01,2479623,164166,2315457,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027694&cycle=2014,,,,,,,
N00009926,Bill Nelson,D,2014,Lawyers/Law Firms,K01,2310503,198722,2111781,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00009926&cycle=2014,,,,,,,
N00003389,Mitch McConnell,R,2014,Securities & Investment,F07,2260132,280600,1979532,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00003389&cycle=2014,,,,,,,
N00033492,Elizabeth Warren,D,2014,Lawyers/Law Firms,K01,2217772,25500,2192272,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033492&cycle=2014,,,,,,,
N00012539,Mark Kirk,R,2014,Securities & Investment,F07,2151061,129900,2021161,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00012539&cycle=2014,,,,,,,
N00033177,Tim Kaine,D,2014,Lawyers/Law Firms,K01,2150821,99386,2051435,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033177&cycle=2014,,,,,,,
N00027503,Bob Casey,D,2014,Lawyers/Law Firms,K01,2114159,237008,1877151,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027503&cycle=2014,,,,,,,
N00035267,Cory Booker,D,2014,Lawyers/Law Firms,K01,2045970,150800,1895170,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00035267&cycle=2014,,,,,,,
N00035267,Cory Booker,D,2014,Securities & Investment,F07,2032770,51500,1981270,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00035267&cycle=2014,,,,,,,
N00000270,Ed Markey,D,2014,Lawyers/Law Firms,K01,1986511,140263,1846248,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00000270&cycle=2014,,,,,,,
N00003535,Sherrod Brown,D,2014,Lawyers/Law Firms,K01,1965494,201123,1764371,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00003535&cycle=2014,,,,,,,
N00033177,Tim Kaine,D,2014,Retired,W06,1863635,0,1863635,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033177&cycle=2014,,,,,,,
N00005395,Mary L. Landrieu,D,2014,Lawyers/Law Firms,K01,1849874,280932,1568942,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00005395&cycle=2014,,,,,,,
N00002097,Mark Warner,D,2014,Securities & Investment,F07,1755378,231850,1523528,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00002097&cycle=2014,,,,,,,
N00000699,Robert Menendez,D,2014,Lawyers/Law Firms,K01,1754077,199426,1554651,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00000699&cycle=2014,,,,,,,
N00031820,Chris Coons,D,2014,Lawyers/Law Firms,K01,1751380,190390,1560990,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00031820&cycle=2014,,,,,,,
N00001489,Pat Toomey,R,2014,Securities & Investment,F07,1720834,219338,1501496,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00001489&cycle=2014,,,,,,,
N00008051,Mark Udall,D,2014,Retired,W06,1697744,0,1697744,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00008051&cycle=2014,,,,,,,
N00006692,Barbara Boxer,D,2014,Lawyers/Law Firms,K01,1659563,110072,1549491,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00006692&cycle=2014,,,,,,,
N00027464,Bruce Braley,D,2014,Lawyers/Law Firms,K01,1656497,42000,1614497,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00027464&cycle=2014,,,,,,,
N00003682,Rob Portman,R,2014,Securities & Investment,F07,1645813,168000,1477813,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00003682&cycle=2014,,,,,,,
N00008051,Mark Udall,D,2014,Lawyers/Law Firms,K01,1610958,198052,1412906,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00008051&cycle=2014,,,,,,,
N00030608,Michael F. Bennet,D,2014,Securities & Investment,F07,1600574,163000,1437574,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030608&cycle=2014,,,,,,,
N00033085,Ted Cruz,R,2014,Republican/Conservative,Q01,1599057,112331,1486726,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033085&cycle=2014,,,,,,,
N00033492,Elizabeth Warren,D,2014,Women's Issues,Q08,1598383,20472,1577911,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00033492&cycle=2014,,,,,,,
N00001093,Charles E. Schumer,D,2014,Real Estate,F10,1583089,111500,1471589,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00001093&cycle=2014,,,,,,,
N00030608,Michael F. Bennet,D,2014,Lawyers/Law Firms,K01,1547134,196551,1350583,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00030608&cycle=2014,,,,,,,
N00029016,Al Franken,D,2014,Lawyers/Law Firms,K01,1498404,93938,1404466,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00029016&cycle=2014,,,,,,,
N00001489,Pat Toomey,R,2014,Retired,W06,1483679,0,1483679,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00001489&cycle=2014,,,,,,,
N00001489,Pat Toomey,R,2014,Republican/Conservative,Q01,1478768,90817,1387951,Center for Responsive Politics,3/9/15,http://www.opensecrets.org/politicians/industries.php?cid=N00001489&cycle=2014,,,,,,,
