Date,Open,High,Low,Close,Volume,Adjusted Close
2013-10-31,422.29,427.08,420.52,423.39,0.0,423.39
2013-10-30,427.97,428.18,420.87,422.29,0.0,422.29
2013-10-29,424.01,427.09,421.97,426.78,0.0,426.78
2013-10-28,423.98,425.43,419.95,421.76,0.0,421.76
2013-10-25,430.17,431.21,424.22,425.7,0.0,425.7
2013-10-24,424.81,426.97,423.54,426.32,0.0,426.32
2013-10-23,427.75,428.16,423.74,426.66,0.0,426.66
2013-10-22,435.42,436.51,427.07,430.74,0.0,430.74
2013-10-21,434.22,434.89,431.04,432.65,0.0,432.65
2013-10-18,425.78,432.09,425.55,431.42,0.0,431.42
2013-10-17,417.17,419.61,416.4,419.59,0.0,419.59
2013-10-16,415.58,420.7,415.58,419.99,0.0,419.99
2013-10-15,418.9,419.69,414.68,415.58,0.0,415.58
2013-10-14,413.78,419.1,413.1,418.9,0.0,418.9
2013-10-11,413.48,417.94,413.12,417.26,0.0,417.26
2013-10-10,408.55,414.22,408.55,413.84,0.0,413.84
2013-10-09,405.82,406.2,397.45,403.32,0.0,403.32
2013-10-08,418.41,418.64,403.8,404.92,0.0,404.92
2013-10-07,419.86,423.13,418.33,418.36,0.0,418.36
2013-10-04,418.64,424.53,418.15,423.8,0.0,423.8
2013-10-03,423.53,425.0,415.12,418.15,0.0,418.15
2013-10-02,419.61,424.11,419.49,423.62,0.0,423.62
2013-10-01,416.17,422.52,416.17,422.52,0.0,422.52
2013-09-30,412.72,417.64,411.15,415.71,0.0,415.71
2013-09-27,417.14,417.92,415.82,417.03,0.0,417.03
2013-09-26,416.84,420.74,416.76,419.52,0.0,419.52
2013-09-25,416.58,418.25,414.87,415.53,0.0,415.53
2013-09-24,416.51,418.74,413.45,415.86,0.0,415.86
2013-09-23,420.53,420.72,413.27,416.51,0.0,416.51
2013-09-20,424.0,425.1,420.55,421.18,0.0,421.18
2013-09-19,422.67,423.13,420.91,422.37,0.0,422.37
2013-09-18,417.9,422.54,417.19,421.8,0.0,421.8
2013-09-17,415.55,418.45,415.09,418.27,0.0,418.27
2013-09-16,419.26,419.86,414.37,414.81,0.0,414.81
2013-09-13,415.76,416.15,413.13,415.1,0.0,415.1
2013-09-12,417.09,418.21,414.91,415.07,0.0,415.07
2013-09-11,415.82,417.92,415.38,417.68,0.0,417.68
2013-09-10,414.18,417.31,414.17,417.23,0.0,417.23
2013-09-09,407.57,412.66,407.57,411.92,0.0,411.92
2013-09-06,406.85,408.39,401.61,406.14,0.0,406.14
2013-09-05,404.2,406.2,404.03,404.94,0.0,404.94
2013-09-04,399.17,404.18,398.0,403.55,0.0,403.55
2013-09-03,397.07,400.37,395.53,397.06,0.0,397.06
2013-08-30,397.27,397.27,391.71,392.43,0.0,392.43
2013-08-29,393.52,398.85,393.41,396.86,0.0,396.86
2013-08-28,392.36,395.58,392.21,394.09,0.0,394.09
2013-08-27,397.17,397.71,392.22,392.42,0.0,392.42
2013-08-26,401.87,403.79,400.18,400.93,0.0,400.93
2013-08-23,402.1,402.64,401.05,401.85,0.0,401.85
2013-08-22,397.83,401.35,397.74,400.85,0.0,400.85
2013-08-21,397.84,399.97,395.58,396.34,0.0,396.34
2013-08-20,397.04,400.32,396.8,399.25,0.0,399.25
2013-08-19,398.53,400.95,396.63,396.66,0.0,396.66
2013-08-16,400.06,401.82,399.08,399.08,0.0,399.08
2013-08-15,402.92,402.99,399.3,400.46,0.0,400.46
2013-08-14,410.5,411.42,408.63,408.73,0.0,408.73
2013-08-13,410.39,412.65,407.61,411.24,0.0,411.24
2013-08-12,406.93,410.38,406.69,409.47,0.0,409.47
2013-08-09,408.63,410.51,407.53,408.29,0.0,408.29
2013-08-08,408.34,408.34,405.41,407.56,0.0,407.56
2013-08-07,408.08,409.76,405.63,405.88,0.0,405.88
2013-08-06,409.63,410.48,406.4,407.95,0.0,407.95
2013-08-05,407.39,409.84,406.82,409.74,0.0,409.74
2013-08-02,405.92,408.2,405.04,408.2,0.0,408.2
2013-08-01,408.13,409.18,406.8,408.83,0.0,408.83
2013-07-31,406.1,407.4,404.28,404.98,0.0,404.98
2013-07-30,404.01,406.16,403.0,404.84,0.0,404.84
2013-07-29,403.8,405.64,401.87,402.15,0.0,402.15
2013-07-26,401.21,404.75,400.63,404.71,0.0,404.71
2013-07-25,403.72,406.68,403.3,406.37,0.0,406.37
2013-07-24,402.3,402.67,398.92,399.86,0.0,399.86
2013-07-23,403.66,404.08,400.89,401.18,0.0,401.18
2013-07-22,404.25,404.58,402.18,403.43,0.0,403.43
2013-07-19,405.48,406.44,403.84,404.39,0.0,404.39
2013-07-18,406.76,409.01,405.5,407.38,0.0,407.38
2013-07-17,403.51,406.93,403.4,406.93,0.0,406.93
2013-07-16,404.43,404.98,401.55,402.68,0.0,402.68
2013-07-15,402.91,403.43,400.65,403.38,0.0,403.38
2013-07-12,399.65,403.1,399.65,403.1,0.0,403.1
2013-07-11,393.64,397.63,393.34,397.43,0.0,397.43
2013-07-10,388.97,390.46,387.45,389.74,0.0,389.74
2013-07-09,385.3,389.33,385.3,388.85,0.0,388.85
2013-07-08,383.65,385.95,383.65,385.3,0.0,385.3
2013-07-05,381.65,383.65,378.9,383.65,0.0,383.65
2013-07-03,376.06,380.6,375.9,379.35,0.0,379.35
2013-07-02,379.38,382.45,376.54,378.23,0.0,378.23
2013-07-01,379.23,382.94,379.23,380.8,0.0,380.8
2013-06-28,376.02,379.18,374.87,377.35,0.0,377.35
2013-06-27,377.51,380.85,377.51,379.93,0.0,379.93
2013-06-26,375.15,376.54,374.73,375.34,0.0,375.34
2013-06-25,371.51,373.41,369.73,372.09,0.0,372.09
2013-06-24,371.28,371.65,366.24,368.67,0.0,368.67
2013-06-21,376.36,376.97,370.76,374.22,0.0,374.22
2013-06-20,378.62,380.35,374.13,375.0,0.0,375.0
2013-06-19,385.14,386.22,382.15,382.15,0.0,382.15
2013-06-18,382.87,386.53,382.76,385.44,0.0,385.44
2013-06-17,378.33,384.21,378.33,382.1,0.0,382.1
2013-06-14,380.78,381.63,377.85,378.33,0.0,378.33
2013-06-13,374.41,381.6,373.6,380.88,0.0,380.88
2013-06-12,381.01,381.01,373.97,374.79,0.0,374.79
2013-06-11,380.11,382.9,378.37,378.49,0.0,378.49
2013-06-10,383.38,385.04,381.43,384.43,0.0,384.43
2013-06-07,379.44,383.38,378.28,383.1,0.0,383.1
2013-06-06,375.2,377.36,372.46,377.36,0.0,377.36
2013-06-05,375.49,377.01,372.64,373.46,0.0,373.46
2013-06-04,378.79,380.97,374.58,376.53,0.0,376.53
2013-06-03,380.84,380.84,374.77,379.02,0.0,379.02
2013-05-31,382.48,385.38,380.69,380.69,0.0,380.69
2013-05-30,381.16,385.31,381.14,383.8,0.0,383.8
2013-05-29,380.41,382.0,378.24,380.56,0.0,380.56
2013-05-28,383.82,385.58,381.42,382.34,0.0,382.34
2013-05-24,378.16,379.85,376.55,379.69,0.0,379.69
2013-05-23,376.38,381.32,375.67,380.29,0.0,380.29
2013-05-22,387.34,389.68,379.49,381.03,0.0,381.03
2013-05-21,389.76,390.52,387.54,388.04,0.0,388.04
2013-05-20,388.72,390.78,388.17,389.47,0.0,389.47
2013-05-17,386.22,388.45,385.38,388.43,0.0,388.43
2013-05-16,386.79,388.91,384.17,384.5,0.0,384.5
2013-05-15,380.4,384.56,379.96,384.02,0.0,384.02
2013-05-14,378.08,381.33,378.04,380.74,0.0,380.74
2013-05-13,377.35,378.29,376.13,377.54,0.0,377.54
2013-05-10,374.2,377.35,373.97,377.35,0.0,377.35
2013-05-09,373.37,375.14,370.57,373.04,0.0,373.04
2013-05-08,369.11,373.25,369.11,373.0,0.0,373.0
2013-05-07,372.09,372.69,369.46,371.45,0.0,371.45
2013-05-06,369.77,371.95,369.46,371.48,0.0,371.48
2013-05-03,366.79,370.28,366.58,369.26,0.0,369.26
2013-05-02,360.3,364.0,359.98,363.38,0.0,363.38
2013-05-01,362.3,363.16,358.57,359.12,0.0,359.12
2013-04-30,360.69,364.52,359.98,363.27,0.0,363.27
2013-04-29,359.92,361.85,358.7,360.95,0.0,360.95
2013-04-26,360.75,360.84,356.93,358.74,0.0,358.74
2013-04-25,361.74,364.47,361.24,363.14,0.0,363.14
2013-04-24,359.66,361.4,358.82,360.3,0.0,360.3
2013-04-23,355.84,360.44,355.84,359.4,0.0,359.4
2013-04-22,350.78,352.82,347.16,352.11,0.0,352.11
2013-04-19,348.22,351.26,346.68,349.96,0.0,349.96
2013-04-18,354.52,354.67,346.7,348.17,0.0,348.17
2013-04-17,356.57,358.12,352.18,354.27,0.0,354.27
2013-04-16,357.18,359.93,356.58,359.79,0.0,359.79
2013-04-15,361.52,362.86,354.68,355.16,0.0,355.16
2013-04-12,363.12,363.76,359.67,363.3,0.0,363.3
2013-04-11,362.93,364.59,361.99,363.69,0.0,363.69
2013-04-10,357.6,363.59,357.39,362.93,0.0,362.93
2013-04-09,354.49,357.08,352.93,355.68,0.0,355.68
2013-04-08,352.39,353.77,351.14,353.77,0.0,353.77
2013-04-05,349.18,352.33,347.98,352.12,0.0,352.12
2013-04-04,357.79,358.5,355.76,357.34,0.0,357.34
2013-04-03,362.14,362.39,357.24,358.08,0.0,358.08
2013-04-02,363.3,363.94,361.0,361.95,0.0,361.95
2013-04-01,363.93,364.11,359.96,360.75,0.0,360.75
2013-03-28,362.04,363.53,361.79,363.16,0.0,363.16
2013-03-27,359.07,362.77,358.7,362.13,0.0,362.13
2013-03-26,360.86,361.76,359.92,361.28,0.0,361.28
2013-03-25,361.47,362.54,357.12,358.98,0.0,358.98
2013-03-22,361.96,362.56,360.5,361.52,0.0,361.52
2013-03-21,361.69,364.52,361.18,362.27,0.0,362.27
2013-03-20,363.07,365.68,362.71,364.72,0.0,364.72
2013-03-19,363.16,364.07,357.22,360.21,0.0,360.21
2013-03-18,360.28,364.8,359.48,362.82,0.0,362.82
2013-03-15,367.49,367.54,364.22,364.75,0.0,364.75
2013-03-14,369.32,370.01,367.23,367.77,0.0,367.77
2013-03-13,367.96,369.41,366.47,369.23,0.0,369.23
2013-03-12,368.74,368.74,365.7,367.64,0.0,367.64
2013-03-11,368.07,369.11,367.28,368.74,0.0,368.74
2013-03-08,370.23,370.38,366.74,368.72,0.0,368.72
2013-03-07,367.75,368.7,366.5,368.27,0.0,368.27
2013-03-06,365.45,366.32,363.91,365.6,0.0,365.6
2013-03-05,362.17,364.61,362.17,363.99,0.0,363.99
2013-03-04,357.48,359.93,356.8,359.93,0.0,359.93
2013-03-01,355.72,358.73,354.06,358.27,0.0,358.27
2013-02-28,356.04,359.55,356.04,357.13,0.0,357.13
2013-02-27,352.39,358.02,351.94,356.3,0.0,356.3
2013-02-26,352.8,353.93,348.38,351.86,0.0,351.86
2013-02-25,359.54,360.1,351.27,351.27,0.0,351.27
2013-02-22,357.0,357.95,354.74,357.48,0.0,357.48
2013-02-21,356.62,356.64,351.21,353.98,0.0,353.98
2013-02-20,364.43,364.99,357.77,357.77,0.0,357.77
2013-02-19,361.25,364.36,361.0,364.36,0.0,364.36
2013-02-15,362.66,363.3,360.63,361.71,0.0,361.71
2013-02-14,357.78,362.16,357.32,361.95,0.0,361.95
2013-02-13,357.72,358.68,355.92,357.84,0.0,357.84
2013-02-12,355.82,358.0,355.65,357.03,0.0,357.03
2013-02-11,358.3,358.3,355.13,356.05,0.0,356.05
2013-02-08,357.53,359.14,357.22,358.3,0.0,358.3
2013-02-07,357.95,358.39,353.12,356.65,0.0,356.65
2013-02-06,355.32,359.52,355.32,359.12,0.0,359.12
2013-02-05,354.86,358.05,354.42,357.04,0.0,357.04
2013-02-04,354.88,357.01,353.67,354.07,0.0,354.07
2013-02-01,355.61,357.85,354.03,356.77,0.0,356.77
2013-01-31,351.56,353.79,350.71,352.89,0.0,352.89
2013-01-30,356.05,356.65,350.98,351.78,0.0,351.78
2013-01-29,354.97,355.15,352.65,354.54,0.0,354.54
2013-01-28,360.89,361.98,357.38,358.0,0.0,358.0
2013-01-25,354.31,360.81,354.31,360.19,0.0,360.19
2013-01-24,348.8,354.4,348.8,352.94,0.0,352.94
2013-01-23,345.29,346.25,344.96,345.38,0.0,345.38
2013-01-22,343.28,343.49,341.12,343.49,0.0,343.49
2013-01-18,342.69,343.28,341.95,343.0,0.0,343.0
2013-01-17,342.75,343.49,341.88,342.21,0.0,342.21
2013-01-16,340.74,341.99,340.06,340.88,0.0,340.88
2013-01-15,338.81,341.33,338.09,340.93,0.0,340.93
2013-01-14,340.14,342.5,339.31,340.93,0.0,340.93
2013-01-11,337.57,340.23,337.39,340.14,0.0,340.14
2013-01-10,338.04,338.39,335.34,337.49,0.0,337.49
2013-01-09,335.54,336.77,334.9,336.03,0.0,336.03
2013-01-08,336.1,336.93,332.72,334.86,0.0,334.86
2013-01-07,335.25,336.83,334.05,336.23,0.0,336.23
2013-01-04,335.37,337.05,334.3,336.68,0.0,336.68
2013-01-03,337.02,338.7,334.09,335.15,0.0,335.15
2013-01-02,334.24,337.53,333.53,336.9,0.0,336.9
2012-12-31,320.36,327.91,319.73,327.0,0.0,327.0
2012-12-28,321.8,324.05,320.97,321.06,0.0,321.06
2012-12-27,325.59,325.59,320.31,324.25,0.0,324.25
2012-12-26,326.71,328.57,324.54,325.43,0.0,325.43
2012-12-24,327.18,327.36,325.82,326.5,0.0,326.5
2012-12-21,327.66,330.95,327.06,328.53,0.0,328.53
2012-12-20,333.99,335.47,332.04,335.47,0.0,335.47
2012-12-19,334.76,336.5,333.61,333.61,0.0,333.61
2012-12-18,329.25,335.08,329.25,334.55,0.0,334.55
2012-12-17,325.76,329.25,325.15,329.25,0.0,329.25
2012-12-14,324.56,326.87,324.26,325.19,0.0,325.19
