,State,CongressionalMembership,Candidate1,PartyAffiliation1,Votes1,VotePercent1,Candidate2,PartyAffiliation2,Votes2,VotePercent2,Candidate3,PartyAffiliation3,Votes3,VotePercent3,Candidate4,PartyAffiliation4,Votes4,VotePercent4,Candidate5,PartyAffiliation5,Votes5,VotePercent5,Candidate6,PartyAffiliation6,Votes6,VotePercent6,Candidate7,PartyAffiliation7,Votes7,VotePercent7,Candidate8,PartyAffiliation8,Votes8,VotePercent8,Candidate9,PartyAffiliation9,Votes9,VotePercent9,Candidate10,PartyAffiliation10,Votes10,VotePercent10,Candidate11,PartyAffiliation11,Votes11,VotePercent11,Candidate12,PartyAffiliation12,Votes12,VotePercent12
0,alabama,Senate,Jeff Sessions* ,RepublicanRep.,,,Uncontested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,alabama,House District 1,Bradley Byrne*,RepublicanRep.,103320.0,68.3,Burton R. LeFlore,DemocratDem.,47913.0,31.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,alabama,House District 2,Martha Roby*,RepublicanRep.,95073.0,66.1,Erick Wright,DemocratDem.,48789.0,33.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,alabama,House District 3,Mike D. Rogers*,RepublicanRep.,102303.0,65.6,Jessie Smith,DemocratDem.,53641.0,34.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,alabama,House District 4,Robert B. Aderholt* ,RepublicanRep.,,,Uncontested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,alabama,House District 5,Mo Brooks*,RepublicanRep.,115212.0,74.8,Mark Bray,Other,38830.0,25.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,alabama,House District 6,Gary Palmer,RepublicanRep.,135711.0,76.3,Mark Lester,DemocratDem.,42172.0,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,alabama,House District 7,Terri A. Sewell* ,DemocratDem.,,,Uncontested,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,alaska,Senate,Dan Sullivan,RepublicanRep.,119579.0,48.8,Mark Begich*,DemocratDem.,111668.0,45.6,Mark Fish,Other,9026.0,3.7,Ted Gianoutsos,Other,4725.0,1.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,alaska,House District 1,Don Young*,RepublicanRep.,125410.0,51.6,Forrest Dunbar,DemocratDem.,99069.0,40.8,Jim McDermott,Other,18365.0,7.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,arizona,House District 1,Ann Kirkpatrick*,DemocratDem.,94551.0,52.5,Andy Tobin,RepublicanRep.,85693.0,47.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,arizona,House District 2,Martha McSally,RepublicanRep.,108230.0,50.0,Ron Barber*,DemocratDem.,108051.0,50.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,arizona,House District 3,Raúl A. Grijalva*,DemocratDem.,57398.0,55.6,Gabby Saucedo Mercer,RepublicanRep.,45877.0,44.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,arizona,House District 4,Paul Gosar*,RepublicanRep.,121020.0,70.0,Mike Weisser,DemocratDem.,44680.0,25.8,Chris Rike,Other,7302.0,4.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,arizona,House District 5,Matt Salmon*,RepublicanRep.,124801.0,69.6,James Woods,DemocratDem.,54575.0,30.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,arizona,House District 6,David Schweikert*,RepublicanRep.,129527.0,64.9,John Williamson,DemocratDem.,70171.0,35.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,arizona,House District 7,Ruben Gallego,DemocratDem.,54222.0,75.0,Joe Cobb,Other,10715.0,14.8,Rebecca DeWitt,Other,3858.0,5.3,Jose Penalosa,Other,3495.0,4.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,arizona,House District 8,Trent Franks*,RepublicanRep.,128653.0,75.8,Stephen Dolgos,Other,41048.0,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,arizona,House District 9,Kyrsten Sinema*,DemocratDem.,88436.0,54.7,Wendy Rogers,RepublicanRep.,67681.0,41.9,Powell Gammill,Other,5595.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,arkansas,Senate,Tom Cotton,RepublicanRep.,476309.0,56.5,Mark Pryor*,DemocratDem.,332669.0,39.5,Nathan LaFrance,Other,17103.0,2.0,Mark Swaney,Other,16717.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,arkansas,House District 1,Rick Crawford*,RepublicanRep.,122722.0,63.2,Jackie McPherson,DemocratDem.,62902.0,32.4,Brian Willhite,Other,8442.0,4.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,arkansas,House District 2,French Hill,RepublicanRep.,123014.0,51.9,Patrick Henry Hays,DemocratDem.,103379.0,43.6,Debbie Standiford,Other,10581.0,4.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,arkansas,House District 3,Steve Womack*,RepublicanRep.,151093.0,79.4,Grant Brand,Other,39143.0,20.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,arkansas,House District 4,Bruce Westerman,RepublicanRep.,110163.0,53.7,James Lee Witt,DemocratDem.,87335.0,42.6,Ken Hamilton,Other,7568.0,3.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,california,House District 1,Doug LaMalfa*,RepublicanRep.,110258.0,61.9,Heidi Hall,DemocratDem.,67938.0,38.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,california,House District 2,Jared Huffman*,DemocratDem.,117397.0,73.9,Dale Mensing,RepublicanRep.,41516.0,26.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,california,House District 3,John Garamendi*,DemocratDem.,68303.0,52.2,Dan Logue,RepublicanRep.,62494.0,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,california,House District 4,Tom McClintock*,RepublicanRep.,104900.0,60.5,Art Moore,RepublicanRep.,68601.0,39.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,california,House District 5,Mike Thompson*,DemocratDem.,97446.0,75.8,James Hinton,Other,31050.0,24.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,california,House District 6,Doris Matsui*,DemocratDem.,80258.0,72.4,Joseph McCray,RepublicanRep.,30607.0,27.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,california,House District 7,Ami Bera*,DemocratDem.,92394.0,50.4,Doug Ose,RepublicanRep.,90962.0,49.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,california,House District 8,Paul Cook*,RepublicanRep.,74678.0,67.8,Bob Conaway,DemocratDem.,35414.0,32.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,california,House District 9,Jerry McNerney*,DemocratDem.,46762.0,52.2,Tony Amador,RepublicanRep.,42783.0,47.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,california,House District 10,Jeff Denham*,RepublicanRep.,62750.0,56.4,Michael Eggman,DemocratDem.,48510.0,43.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,california,House District 11,Mark DeSaulnier,DemocratDem.,106989.0,66.9,Tue Phan,RepublicanRep.,53023.0,33.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,california,House District 12,Nancy Pelosi*,DemocratDem.,150390.0,83.1,John Dennis,RepublicanRep.,30485.0,16.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,california,House District 13,Barbara Lee*,DemocratDem.,166182.0,88.4,Dakin Sundeen,RepublicanRep.,21756.0,11.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,california,House District 14,Jackie Speier*,DemocratDem.,89009.0,76.2,Robin Chew,RepublicanRep.,27806.0,23.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,california,House District 15,Eric Swalwell*,DemocratDem.,98511.0,69.8,Hugh Bussell,RepublicanRep.,42556.0,30.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,california,House District 16,Jim Costa*,DemocratDem.,46245.0,50.7,Johnny Tacherra,RepublicanRep.,44926.0,49.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,california,House District 17,Michael M. Honda*,DemocratDem.,68001.0,51.8,Ro Khanna,DemocratDem.,63293.0,48.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,california,House District 18,Anna G. Eshoo*,DemocratDem.,119532.0,67.4,Richard Fox,RepublicanRep.,57895.0,32.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,california,House District 19,Zoe Lofgren*,DemocratDem.,82965.0,67.5,Robert Murray,DemocratDem.,39918.0,32.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,california,House District 20,Sam Farr*,DemocratDem.,77305.0,74.3,Ronald Kabat,Other,26682.0,25.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,california,House District 21,David Valadao*,RepublicanRep.,41167.0,58.5,Amanda Renteria,DemocratDem.,29244.0,41.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
45,california,House District 22,Devin Nunes*,RepublicanRep.,80356.0,72.3,Suzanna Aguilera-Marrero,DemocratDem.,30734.0,27.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
46,california,House District 23,Kevin McCarthy*,RepublicanRep.,94308.0,75.4,Raul Garcia,DemocratDem.,30834.0,24.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
