[state, district, year]=al, 01, 2004
Jo Bonner (R)
Industry	Total	
Real Estate	$83,300
Health Professionals	$70,525
Lawyers/Law Firms	$68,850
Retired	$52,650
Lobbyists	$39,494
Forestry & Forest Products	$36,500
General Contractors	$34,750
Electric Utilities	$34,366
Agricultural Services/Products	$33,914
Education	$33,631
Food & Beverage	$32,997
Commercial Banks	$29,200
Sea Transport	$28,000
Crop Production & Basic Processing	$24,900
Retail Sales	$22,250
Construction Services	$22,200
Building Materials & Equipment	$18,500
Misc Finance	$16,000
Computers/Internet	$16,000
Insurance	$14,700

Judy McCain Belk (D)
Industry	Total	
Lawyers/Law Firms	$28,981
Industrial Unions	$28,500
Building Trade Unions	$24,000
Special Trade Contractors	$18,500
Real Estate	$6,250
Retired	$3,800
Insurance	$2,950
Automotive	$2,800
Misc Business	$2,750
Public Sector Unions	$2,500
Civil Servants/Public Officials	$2,250
Misc Health	$2,000
Retail Sales	$1,952
Telecom Services & Equipment	$1,800
Commercial Banks	$1,500
Securities & Investment	$1,500
Misc Unions	$1,200
Food Processing & Sales	$1,077
Crop Production & Basic Processing	$500
Dairy	$500
Misc Manufacturing & Distributing	$500
Business Services	$500
General Contractors	$500
Hospitals/Nursing Homes	$500

[state, district, year]=al, 02, 2004
Jo Bonner (R)
Industry	Total	
Real Estate	$83,300
Health Professionals	$70,525
Lawyers/Law Firms	$68,850
Retired	$52,650
Lobbyists	$39,494
Forestry & Forest Products	$36,500
General Contractors	$34,750
Electric Utilities	$34,366
Agricultural Services/Products	$33,914
Education	$33,631
Food & Beverage	$32,997
Commercial Banks	$29,200
Sea Transport	$28,000
Crop Production & Basic Processing	$24,900
Retail Sales	$22,250
Construction Services	$22,200
Building Materials & Equipment	$18,500
Misc Finance	$16,000
Computers/Internet	$16,000
Insurance	$14,700

Judy McCain Belk (D)
Industry	Total	
Lawyers/Law Firms	$28,981
Industrial Unions	$28,500
Building Trade Unions	$24,000
Special Trade Contractors	$18,500
Real Estate	$6,250
Retired	$3,800
Insurance	$2,950
Automotive	$2,800
Misc Business	$2,750
Public Sector Unions	$2,500
Civil Servants/Public Officials	$2,250
Misc Health	$2,000
Retail Sales	$1,952
Telecom Services & Equipment	$1,800
Commercial Banks	$1,500
Securities & Investment	$1,500
Misc Unions	$1,200
Food Processing & Sales	$1,077
Crop Production & Basic Processing	$500
Dairy	$500
Misc Manufacturing & Distributing	$500
Business Services	$500
General Contractors	$500
Hospitals/Nursing Homes	$500

[state, district, year]=al, 03, 2004
Jo Bonner (R)
Industry	Total	
Real Estate	$83,300
Health Professionals	$70,525
Lawyers/Law Firms	$68,850
Retired	$52,650
Lobbyists	$39,494
Forestry & Forest Products	$36,500
General Contractors	$34,750
Electric Utilities	$34,366
Agricultural Services/Products	$33,914
Education	$33,631
Food & Beverage	$32,997
Commercial Banks	$29,200
Sea Transport	$28,000
Crop Production & Basic Processing	$24,900
Retail Sales	$22,250
Construction Services	$22,200
Building Materials & Equipment	$18,500
Misc Finance	$16,000
Computers/Internet	$16,000
Insurance	$14,700

Judy McCain Belk (D)
Industry	Total	
Lawyers/Law Firms	$28,981
Industrial Unions	$28,500
Building Trade Unions	$24,000
Special Trade Contractors	$18,500
Real Estate	$6,250
Retired	$3,800
Insurance	$2,950
Automotive	$2,800
Misc Business	$2,750
Public Sector Unions	$2,500
Civil Servants/Public Officials	$2,250
Misc Health	$2,000
Retail Sales	$1,952
Telecom Services & Equipment	$1,800
Commercial Banks	$1,500
Securities & Investment	$1,500
Misc Unions	$1,200
Food Processing & Sales	$1,077
Crop Production & Basic Processing	$500
Dairy	$500
Misc Manufacturing & Distributing	$500
Business Services	$500
General Contractors	$500
Hospitals/Nursing Homes	$500

[state, district, year]=al, 04, 2004
Jo Bonner (R)
Industry	Total	
Real Estate	$83,300
Health Professionals	$70,525
Lawyers/Law Firms	$68,850
Retired	$52,650
Lobbyists	$39,494
Forestry & Forest Products	$36,500
General Contractors	$34,750
Electric Utilities	$34,366
Agricultural Services/Products	$33,914
Education	$33,631
Food & Beverage	$32,997
Commercial Banks	$29,200
Sea Transport	$28,000
Crop Production & Basic Processing	$24,900
Retail Sales	$22,250
Construction Services	$22,200
Building Materials & Equipment	$18,500
Misc Finance	$16,000
Computers/Internet	$16,000
Insurance	$14,700

Judy McCain Belk (D)
Industry	Total	
Lawyers/Law Firms	$28,981
Industrial Unions	$28,500
Building Trade Unions	$24,000
Special Trade Contractors	$18,500
Real Estate	$6,250
Retired	$3,800
Insurance	$2,950
Automotive	$2,800
Misc Business	$2,750
Public Sector Unions	$2,500
Civil Servants/Public Officials	$2,250
Misc Health	$2,000
Retail Sales	$1,952
Telecom Services & Equipment	$1,800
Commercial Banks	$1,500
Securities & Investment	$1,500
Misc Unions	$1,200
Food Processing & Sales	$1,077
Crop Production & Basic Processing	$500
Dairy	$500
Misc Manufacturing & Distributing	$500
Business Services	$500
General Contractors	$500
Hospitals/Nursing Homes	$500

[state, district, year]=al, 05, 2004
