State,CongressionalMembership,Candidate1,PartyAffiliation1,Votes1,VotePercent1,Candidate2,PartyAffiliation2,Votes2,VotePercent2,Candidate3,PartyAffiliation3,Votes3,VotePercent3,Candidate4,PartyAffiliation4,Votes4,VotePercent4,Candidate5,PartyAffiliation5,Votes5,VotePercent5,Candidate6,PartyAffiliation6,Votes6,VotePercent6,Candidate7,PartyAffiliation7,Votes7,VotePercent7,Candidate8,PartyAffiliation8,Votes8,VotePercent8,Candidate9,PartyAffiliation9,Votes9,VotePercent9,Candidate10,PartyAffiliation10,Votes10,VotePercent10,Candidate11,PartyAffiliation11,Votes11,VotePercent11,Candidate12,PartyAffiliation12,Votes12,VotePercent12
alabama,Senate,Jeff Sessions* ,RepublicanRep.,,,Uncontested
alabama,House District 1,Bradley Byrne*,RepublicanRep.,"103,320",68.3%,Burton R. LeFlore,DemocratDem.,"47,913",31.7%
alabama,House District 2,Martha Roby*,RepublicanRep.,"95,073",66.1%,Erick Wright,DemocratDem.,"48,789",33.9%
alabama,House District 3,Mike D. Rogers*,RepublicanRep.,"102,303",65.6%,Jessie Smith,DemocratDem.,"53,641",34.4%
alabama,House District 4,Robert B. Aderholt* ,RepublicanRep.,,,Uncontested
alabama,House District 5,Mo Brooks*,RepublicanRep.,"115,212",74.8%,Mark Bray,Other,"38,830",25.2%
alabama,House District 6,Gary Palmer,RepublicanRep.,"135,711",76.3%,Mark Lester,DemocratDem.,"42,172",23.7%
alabama,House District 7,Terri A. Sewell* ,DemocratDem.,,,Uncontested
alaska,Senate,Dan Sullivan,RepublicanRep.,"119,579",48.8%,Mark Begich*,DemocratDem.,"111,668",45.6%,Mark Fish,Other,"9,026",3.7%,Ted Gianoutsos,Other,"4,725",1.9%
alaska,House District 1,Don Young*,RepublicanRep.,"125,410",51.6%,Forrest Dunbar,DemocratDem.,"99,069",40.8%,Jim McDermott,Other,"18,365",7.6%
arizona,House District 1,Ann Kirkpatrick*,DemocratDem.,"94,551",52.5%,Andy Tobin,RepublicanRep.,"85,693",47.5%
arizona,House District 2,Martha McSally,RepublicanRep.,"108,230",50.0%,Ron Barber*,DemocratDem.,"108,051",50.0%
arizona,House District 3,Raúl A. Grijalva*,DemocratDem.,"57,398",55.6%,Gabby Saucedo Mercer,RepublicanRep.,"45,877",44.4%
arizona,House District 4,Paul Gosar*,RepublicanRep.,"121,020",70.0%,Mike Weisser,DemocratDem.,"44,680",25.8%,Chris Rike,Other,"7,302",4.2%
arizona,House District 5,Matt Salmon*,RepublicanRep.,"124,801",69.6%,James Woods,DemocratDem.,"54,575",30.4%
