"rules","support","confidence","lift"
"1","{} => {VOTEPERCENTLEVEL=Mid-Low}",0.337062889208239,0.337062889208239,1
"2","{} => {CANDTOTALLEVEL=Mid-Low}",0.353178676520906,0.353178676520906,1
"3","{} => {WINNER=0}",0.402928898925614,0.402928898925614,1
"4","{} => {CANDTOTALLEVEL=Very Low}",0.416410045849586,0.416410045849586,1
"5","{} => {VOTEPERCENTLEVEL=Mid-High}",0.430541298843496,0.430541298843496,1
"6","{} => {PARTY=D}",0.452987066310819,0.452987066310819,1
"7","{} => {INCUMBENT=0}",0.465612810511189,0.465612810511189,1
"8","{} => {INCUMBENT=1}",0.534387189488811,0.534387189488811,1
"9","{} => {PARTY=R}",0.540409224662971,0.540409224662971,1
"10","{} => {WINNER=1}",0.597071101074386,0.597071101074386,1
"11","{CANDTOTALLEVEL=High} => {INCUMBENT=1}",0.054608909874769,0.76510067114094,1.43173467888111
"12","{CANDTOTALLEVEL=High} => {WINNER=1}",0.0556011770341477,0.779002876318313,1.30470705233691
"13","{STATE=TX} => {WINNER=1}",0.0518374050502977,0.68552036199095,1.14813857303997
"14","{PRIMARY.INDUSTRY=Consumer Staples} => {PARTY=R}",0.0507767056730309,0.587722772277228,1.08755133231444
"15","{PRIMARY.INDUSTRY=Consumer Staples} => {WINNER=1}",0.0549168548552659,0.635643564356436,1.06460279724247
"16","{PRIMARY.INDUSTRY=Industrials} => {INCUMBENT=1}",0.0507082734551427,0.580493537015276,1.08627891617419
"17","{PRIMARY.INDUSTRY=Industrials} => {WINNER=1}",0.0550195031820981,0.629847238542891,1.05489486496588
"18","{indrank=7} => {INCUMBENT=1}",0.0551221515089304,0.597551928783383,1.11820032466533
"19","{indrank=7} => {PARTY=R}",0.0569013891740231,0.616839762611276,1.14143085362018
"20","{indrank=7} => {WINNER=1}",0.0608020255936495,0.659124629080119,1.10392988020032
"21","{RaceFundPerc=1} => {VOTEPERCENTLEVEL=High}",0.0652501197563813,0.593526299408652,5.07204667442026
"22","{VOTEPERCENTLEVEL=High} => {RaceFundPerc=1}",0.0652501197563813,0.557602339181287,5.07204667442026
"23","{RaceFundPerc=1} => {CANDTOTALLEVEL=Mid-Low}",0.0606651611578731,0.551820728291317,1.56244067090118
"24","{RaceFundPerc=1} => {PARTY=D}",0.0596728939984945,0.542794895736072,1.19825693955604
"25","{RaceFundPerc=1} => {INCUMBENT=1}",0.10706220488606,0.973856209150327,1.82237940636621
"26","{INCUMBENT=1} => {RaceFundPerc=1}",0.10706220488606,0.200345754898194,1.82237940636621
"27","{RaceFundPerc=1} => {PARTY=R}",0.0502634640388695,0.457205104263928,0.846034973864604
"28","{RaceFundPerc=1} => {WINNER=1}",0.109936358037364,1,1.67484240687679
"29","{STATE=CA} => {VOTEPERCENTLEVEL=Mid-High}",0.050810921781975,0.449727437916414,1.04456283084679
"30","{STATE=CA} => {PARTY=D}",0.0595702456716622,0.527256208358571,1.16395422203245
"31","{STATE=CA} => {INCUMBENT=1}",0.0668240607678095,0.591459721380981,1.10679996267643
"32","{STATE=CA} => {PARTY=R}",0.0522479983576268,0.462447001817081,0.855734840769026
"33","{STATE=CA} => {WINNER=1}",0.0715116676931499,0.632949727437916,1.06009104493413
"34","{indrank=6} => {VOTEPERCENTLEVEL=Mid-High}",0.0514610278519127,0.455343627005752,1.05760731485895
"35","{indrank=6} => {INCUMBENT=1}",0.0642236364880586,0.568271268543748,1.06340735654114
"36","{indrank=6} => {PARTY=R}",0.0630260726750154,0.557674841053588,1.03194915186983
"37","{indrank=6} => {WINNER=1}",0.071169506603709,0.629730547986679,1.05469942667385
"38","{VOTEPERCENTLEVEL=Very Low} => {WINNER=0}",0.114247587764319,0.990213523131673,2.45753909876412
"39","{WINNER=0} => {VOTEPERCENTLEVEL=Very Low}",0.114247587764319,0.283542798913043,2.45753909876412
"40","{VOTEPERCENTLEVEL=Very Low} => {CANDTOTALLEVEL=Very Low}",0.108841442551153,0.943357058125741,2.26545220877427
"41","{CANDTOTALLEVEL=Very Low} => {VOTEPERCENTLEVEL=Very Low}",0.108841442551153,0.261380443714051,2.26545220877427
"42","{VOTEPERCENTLEVEL=Very Low} => {INCUMBENT=0}",0.114863477725313,0.995551601423488,2.13815337325124
"43","{INCUMBENT=0} => {VOTEPERCENTLEVEL=Very Low}",0.114863477725313,0.246693121693122,2.13815337325124
"44","{VOTEPERCENTLEVEL=Very Low} => {PARTY=R}",0.0682611373434613,0.591637010676157,1.09479443295057
"45","{VOTEPERCENTLEVEL=High} => {CANDTOTALLEVEL=Mid-Low}",0.0603914322863204,0.516081871345029,1.46124867001839
"46","{VOTEPERCENTLEVEL=High} => {PARTY=D}",0.0768493806884281,0.65672514619883,1.44976577708339
"47","{VOTEPERCENTLEVEL=High} => {INCUMBENT=1}",0.111510299048792,0.952923976608187,1.78320887055647
"48","{INCUMBENT=1} => {VOTEPERCENTLEVEL=High}",0.111510299048792,0.2086694839288,1.78320887055647
"49","{VOTEPERCENTLEVEL=High} => {WINNER=1}",0.117019092588791,1,1.67484240687679
"50","{PRIMARY.INDUSTRY=Financials} => {WINNER=0}",0.0501608157120372,0.407335370936371,1.01093610317479
"51","{PRIMARY.INDUSTRY=Financials} => {VOTEPERCENTLEVEL=Mid-High}",0.0523848627934031,0.425395943317588,0.988049101120546
"52","{PRIMARY.INDUSTRY=Financials} => {PARTY=D}",0.0572093341545199,0.464573492636844,1.02557783033495
"53","{PRIMARY.INDUSTRY=Financials} => {INCUMBENT=0}",0.0590570040375009,0.479577660461239,1.02999240921812
"54","{PRIMARY.INDUSTRY=Financials} => {INCUMBENT=1}",0.0640867720522822,0.520422339538761,0.973867543562545
"55","{PRIMARY.INDUSTRY=Financials} => {PARTY=R}",0.0650106069937727,0.527924423450959,0.976897505367717
"56","{PRIMARY.INDUSTRY=Financials} => {WINNER=1}",0.0729829603777458,0.592664629063629,0.992619853811669
"57","{indrank=5} => {VOTEPERCENTLEVEL=Mid-High}",0.0551563676178745,0.437093275488069,1.01521799804612
"58","{indrank=5} => {PARTY=D}",0.0596728939984945,0.472885032537961,1.04392612440173
"59","{indrank=5} => {INCUMBENT=0}",0.0576883596797372,0.457158351409978,0.981842297053794
"60","{indrank=5} => {INCUMBENT=1}",0.0685006501060699,0.542841648590022,1.0158208491287
"61","{indrank=5} => {PARTY=R}",0.0657291452815986,0.52087852494577,0.963859425735411
"62","{indrank=5} => {WINNER=1}",0.0768493806884281,0.609002169197397,1.01998265885175
"63","{PRIMARY.INDUSTRY=Consumer Discretionary} => {WINNER=0}",0.0532744816259495,0.416198877305533,1.03293379654649
"64","{PRIMARY.INDUSTRY=Consumer Discretionary} => {CANDTOTALLEVEL=Very Low}",0.0523848627934031,0.409248863940123,0.98280257169384
