KEY,STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,PARTY,YEAR,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %
AL|5|Gerald (Gerry)|Wallace|2004,AL,5,H4AL05066,False,Gerald (Gerry),Wallace,R,2004,6742,0.4518,2371,0.5268,74145,0.2692
NY|11|Gabriel A.|Pearse|2004,NY,11,H4NY11120,False,Gabriel A.,Pearse,D,2004,1179,0.0364,,,,
MO|6|Charles S.|Broomfield|2004,MO,6,H6MO06112,False,Charles S.,Broomfield,D,2004,53548,0.6199,,,106987,0.3475
FL|14|Frank|Schwerin|2004,FL,14,H4FL14083,False,Frank,Schwerin,R,2004,7465,0.0971,,,,
IL|8|Wiliam C.|Scheurer|2004,IL,8,H4IL08092,False,Wiliam C.,Scheurer,D,2004,7518,0.2195,,,,
TX|8|Kevin|Brady|2004,TX,8,H6TX08100,True,Kevin,Brady,R,2004,26445,1.0,,,179599,0.6890999999999999
NV|2|Angie G.|Cochran|2004,NV,2,H4NV02110,False,Angie G.,Cochran,D,2004,18319,0.5064,,,79978,0.2748
UT|2|David A.|Wilde|2004,UT,2,H4UT02163,False,David A.,Wilde,R,2004,,,,,,
CA|31|Luis|Vega|2004,CA,31,H2CA31083,False,Luis,Vega,R,2004,5634,1.0,,,22048,0.1979
CA|21|Devin G.|Nunes|2004,CA,21,H8CA20059,True,Devin G.,Nunes,R,2004,59510,1.0,,,140721,0.7317
TX|25|James|Werner|2004,TX,25,H4TX25141,False,James,Werner,LBT,2004,,,,,2656,0.0166
MO|7|Ronald|Lapham|2004,MO,7,H0MO07097,False,Ronald,Lapham,D,2004,3743,0.07440000000000001,,,,
FL|19|Robert|Wexler|2004,FL,19,H6FL19038,True,Robert,Wexler,D,2004,0,,,,0,
WA|9|C. Mark|Greene|2004,WA,9,H4WA09020,False,C. Mark,Greene,R,2004,18183,0.4661,,,,
IA|S|Daryl A.|Northrop|2004,IA,S,S4IA00053,False,Daryl A.,Northrop,IG,2004,,,,,11121,0.0075
SC|3|J. Gresham|Barrett|2004,SC,3,H2SC03057,True,J. Gresham,Barrett,R,2004,0,,,,191052,0.9951000000000001
TX|10|Robert|Fritsche|2004,TX,10,H4TX10168,False,Robert,Fritsche,LBT,2004,,,,,35569,0.1536
CA|20|Gino L.|Martorana|2004,CA,20,H4CA20116,False,Gino L.,Martorana,R,2004,3934,0.20350000000000001,,,,
CO|4|Marilyn N.|Musgrave|2004,CO,4,H2CO04045,True,Marilyn N.,Musgrave,R,2004,44649,0.7805,,,155958,0.5105
WA|S|Chuck|Jackson|2004,WA,S,S8WA00129,False,Chuck,Jackson,R,2004,10033,0.0192,,,,
IN|2|Joe|Donnelly|2004,IN,2,H4IN02101,False,Joe,Donnelly,D,2004,29117,1.0,,,115513,0.4454
MI|1|John W.|Loosemore|2004,MI,1,H8MI01099,False,John W.,Loosemore,LBT,2004,,,,,2292,0.0070999999999999995
NY|11|Sol|Lieberman|2004,NY,11,H4NY11153,False,Sol,Lieberman,C,2004,0,,,,4478,0.028999999999999998
TX|15|Rub_n|Hinojosa|2004,TX,15,H6TX15055,True,Rub_n,Hinojosa,D,2004,44427,1.0,,,96089,0.5776
CA|S|Marsha|Feinland|2004,CA,S,S4CA00357,False,Marsha,Feinland,PFP,2004,4864,1.0,,,243846,0.0202
TX|30|John|Davis|2004,TX,30,H6TX03101,False,John,Davis,LBT,2004,,,,,10821,0.0697
"MI|4|Albert|Chia, Jr.|2004",MI,4,H2MI04229,False,Albert,"Chia, Jr.",LBT,2004,,,,,2765,0.0087
NE|3|Donna J.|Anderson|2004,NE,3,H4NE03037,False,Donna J.,Anderson,"N(D),D",2004,19665,1.0,,,26434,0.1057
IL|8|Philip|Crane|2004,IL,8,H6IL12016,True,Philip,Crane,R,2004,35412,0.6868000000000001,,,130601,0.483
OH|6|Diane DiCarlo|Murphy|2004,OH,6,H4OH06066,False,Diane DiCarlo,Murphy,D,2004,15054,0.1702,,,,
NC|1|Christine L.|Fitch|2004,NC,1,H2NC01164,False,Christine L.,Fitch,D,2004,4301,0.071,,,,
NV|1|Lewis A.|Byer|2004,NV,1,H4NV01104,False,Lewis A.,Byer,R,2004,4806,0.257,,,,
NC|11|Patsy|Keever|2004,NC,11,H4NC11052,False,Patsy,Keever,D,2004,26385,0.8154,,,131188,0.451
"NJ|8|Bill, Jr.|Pascrell|2004",NJ,8,H6NJ08118,True,"Bill, Jr.",Pascrell,D,2004,12143,1.0,,,152001,0.6945999999999999
IN|3|Mark Edward|Souder|2004,IN,3,H4IN04099,True,Mark Edward,Souder,R,2004,46583,0.7923,,,171389,0.6920999999999999
AR|S|Glenn|Schwarz|2004,AR,S,S4AR00095,False,Glenn,Schwarz,W,2004,,,,,212,0.0002
CA|16|Zoe|Lofgren|2004,CA,16,H4CA16049,True,Zoe,Lofgren,D,2004,50254,1.0,,,129222,0.7089
NJ|7|Matthew Angus|Williams|2004,NJ,7,H4NJ07081,False,Matthew Angus,Williams,I,2004,,,,,2016,0.0070999999999999995
MT|0|Tracy|Velazquez|2004,MT,0,H4MT00043,False,Tracy,Velazquez,D,2004,72001,1.0,,,145606,0.32780000000000004
KS|S|Robert A.|Conroy|2004,KS,S,S4KS00093,False,Robert A.,Conroy,D,2004,61052,0.5592,,,,
GA|1|Jack|Kingston|2004,GA,1,H2GA01157,True,Jack,Kingston,R,2004,43942,1.0,,,188347,1.0
CA|49|Lars R.|Grossmith|2004,CA,49,H4CA49081,False,Lars R.,Grossmith,LBT,2004,526,1.0,,,5751,0.0254
OH|5|Paul E.|Gillmor|2004,OH,5,H8OH05044,True,Paul E.,Gillmor,R,2004,59083,1.0,,,196649,0.6705
CA|S|Tim|Stoen|2004,CA,S,S4CA00308,False,Tim,Stoen,R,2004,124938,0.055099999999999996,,,,
"MI|14|John|Conyers, Jr.|2004",MI,14,H6MI01028,True,John,"Conyers, Jr.",D,2004,54790,1.0,,,213681,0.8393
CA|51|Ruben Ricardo|Garcia|2004,CA,51,H4CA51046,False,Ruben Ricardo,Garcia,R,2004,8662,0.3028,,,,
VI|0|Warren|Mosler|2004,VI,0,H4VI00120,False,Warren,Mosler,I,2004,,,,,7522,0.2793
