KEY,STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,PARTY,YEAR,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %
AL|1|Jo|Bonner|2010,AL,1,H2AL01077,True,Jo,Bonner,REP,2010,56937,0.7525,,,129063,0.8258
AL|1|Peter|Gounares|2010,AL,1,H0AL01030,False,Peter,Gounares,REP,2010,18725,0.2475,,,,
AL|1|David|Walter|2010,AL,1,H0AL01048,False,David,Walter,CPA,2010,,,,,26357,0.16870000000000002
AL|2|Martha|Roby|2010,AL,2,H0AL02087,False,Martha,Roby,REP,2010,36295,0.4855,39169,0.6002000000000001,111645,0.5097
AL|2|Rick|Barber|2010,AL,2,H0AL02103,False,Rick,Barber,REP,2010,21313,0.2851,26091,0.3998,,
AL|2|Stephanie|Bell|2010,AL,2,H0AL02111,False,Stephanie,Bell,REP,2010,13797,0.18460000000000001,,,,
"AL|2|John Beau, III|McKinney|2010",AL,2,H0AL02129,False,"John Beau, III",McKinney,REP,2010,3349,0.044800000000000006,,,,
AL|2|Bobby|Bright|2010,AL,2,H8AL02130,True,Bobby,Bright,DEM,2010,0,,,,106865,0.4879
AL|3|Mike|Rogers|2010,AL,3,H2AL03032,True,Mike,Rogers,REP,2010,0,,,,117736,0.5942000000000001
AL|3|Steve|Segrest|2010,AL,3,H0AL03184,False,Steve,Segrest,DEM,2010,0,,,,80204,0.4048
AL|4|Robert|Aderholt|2010,AL,4,H6AL04098,True,Robert,Aderholt,REP,2010,0,,,,167714,0.9882
AL|5|Mo|Brooks|2010,AL,5,H0AL05163,False,Mo,Brooks,REP,2010,35746,0.5081,,,131109,0.5789
AL|5|Parker|Griffith|2010,AL,5,H8AL05109,True,Parker,Griffith,REP,2010,23525,0.3344,,,,
AL|5|Les|Phillip|2010,AL,5,H0AL05155,False,Les,Phillip,REP,2010,11085,0.1576,,,,
AL|5|Steve|Raby|2010,AL,5,H0AL05197,False,Steve,Raby,DEM,2010,27814,0.6167,,,95192,0.4203
AL|5|Taze|Shepard|2010,AL,5,H0AL05189,False,Taze,Shepard,DEM,2010,10262,0.2275,,,,
AL|5|Mitchell J.|Howie|2010,AL,5,H0AL05171,False,Mitchell J.,Howie,DEM,2010,5277,0.11699999999999999,,,,
AL|5|David J.|Maker|2010,AL,5,H8AL05117,False,David J.,Maker,DEM,2010,1751,0.0388,,,,
AL|6|Spencer|Bachus|2010,AL,6,H2AL06035,True,Spencer,Bachus,REP,2010,80725,0.7564,,,205288,0.9804999999999999
AL|6|Stan|Cooke|2010,AL,6,H0AL06088,False,Stan,Cooke,REP,2010,25997,0.24359999999999998,,,,
AL|7|Terri A.|Sewell|2010,AL,7,H0AL07086,False,Terri A.,Sewell,DEM,2010,31531,0.368,32366,0.55,136696,0.7243
AL|7|Shelia|Smoot|2010,AL,7,H0AL07102,False,Shelia,Smoot,DEM,2010,24490,0.2859,26481,0.45,,
"AL|7|Earl, Jr.|Hilliard|2010",AL,7,H0AL07094,False,"Earl, Jr.",Hilliard,DEM,2010,22981,0.2682,,,,
AL|7|Martha|Bozeman|2010,AL,7,H0AL00016,False,Martha,Bozeman,DEM,2010,6672,0.0779,,,,
AL|7|Don|Chamberlain|2010,AL,7,H0AL07177,False,Don,Chamberlain,REP,2010,6166,0.37579999999999997,11783,0.5576,51890,0.275
AL|7|Chris|Salter|2010,AL,7,H0AL07185,False,Chris,Salter,REP,2010,4826,0.2942,9349,0.4424,,
