STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,PARTY,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %
AL,,n/a,,,,,,,,,,
AL,1,H2AL01077,(I),Jo,Bonner,R,"48,702",55.55%,,,"196,374",97.86%
AL,1,H2AL01176,,Dean,Young,R,"21,308",24.30%,,,,
AL,1,H2AL01184,,Pete,Riehm,R,"13,809",15.75%,,,,
AL,1,H0AL01030,,Peter,Gounares,R,"3,854",4.40%,,,,
AL,1,n/a,,,,R,"87,673",,,,,
AL,1,n/a,,,Scattered,W,,,,,"4,302",2.14%
AL,1,n/a,,,,,"87,673",,,,"200,676",
AL,,n/a,,,,,,,,,,
AL,2,H0AL02087,(I),Martha,Roby,R,Unopposed,,,,"180,591",63.60%
AL,2,H2AL02141,,Therese,Ford,D,Unopposed,,,,"103,092",36.31%
AL,2,n/a,,,Scattered,W,,,,,270,0.10%
AL,2,n/a,,,,,,,,,"283,953",
AL,,n/a,,,,,,,,,,
AL,3,H2AL03032,(I),Mike,Rogers,R,Unopposed,,,,"175,306",64.00%
AL,3,H2AL03099,,John Andrew,Harris,D,Unopposed,,,,"98,141",35.83%
AL,3,n/a,,,Scattered,W,,,,,483,0.18%
AL,3,n/a,,,,,,,,,"273,930",
AL,,n/a,,,,,,,,,,
AL,4,H6AL04098,(I),Robert,Aderholt,R,Unopposed,,,,"199,071",73.97%
AL,4,H2AL04055,,Daniel H.,Boman,D,"10,971",51.45%,,,"69,706",25.90%
AL,4,H2AL04063,,Rick,Neighbors,D,"10,353",48.55%,,,,
AL,4,n/a,,,,D,"21,324",,,,,
AL,4,n/a,,,Scattered,W,,,,,341,0.13%
AL,4,n/a,,,,,"21,324",,,,"269,118",
AL,,n/a,,,,,,,,,,
AL,5,H0AL05163,(I),Mo,Brooks,R,"65,163",70.94%,,,"189,185",64.95%
AL,5,H8AL05109,,Parker,Griffith,R,"26,694",29.06%,,,,
AL,5,n/a,,,,R,"91,857",,,,,
AL,5,H2AL05094,,Charlie L.,Holley,D,Unopposed,,,,"101,772",34.94%
AL,5,n/a,,,Scattered,W,,,,,336,0.12%
AL,5,n/a,,,,,"91,857",,,,"291,293",
AL,,n/a,,,,,,,,,,
AL,6,H2AL06035,(I),Spencer,Bachus,R,"63,360",61.45%,,,"219,262",71.17%
AL,6,H2AL06126,,Scott,Beason,R,"28,673",27.81%,,,,
AL,6,H2AL06100,,David,Standridge,R,"8,120",7.87%,,,,
AL,6,H2AL06134,,Al,Mickle,R,"2,930",2.84%,,,,
AL,6,n/a,,Stan,Pate,R,33,0.03%,,,,
AL,6,n/a,,,,R,"103,116",,,,,
AL,6,H2AL06142,,"Penny ""Colonel""",Bailey,D,"5,061",61.05%,,,"88,267",28.65%
AL,6,H2AL06159,,William,Barnes,D,"3,229",38.95%,,,,
AL,6,n/a,,,,D,"8,290",,,,,
AL,6,n/a,,,Scattered,W,,,,,573,0.19%
AL,6,n/a,,,,,"111,406",,,,"308,102",
AL,,n/a,,,,,,,,,,
AL,7,H0AL07086,(I),Terri A.,Sewell,D,Unopposed,,,,"232,520",75.85%
AL,7,H0AL07177,,Don,Chamberlain,R,"11,537",66.10%,,,"73,835",24.09%
AL,7,H2AL07165,,Phillip,Norris,R,"5,918",33.90%,,,,
AL,7,n/a,,,,R,"17,455",,,,,
AL,7,n/a,,,Scattered,W,,,,,203,0.07%
AL,7,n/a,,,,,"17,455",,,,"306,558",
AL,,n/a,,,,,,,,,,
AL,H,n/a,,,,,"329,715",,,,"1,933,630",
,,n/a,,,,,,,,,,
AK,0,H6AK00045,(I),Don,Young,R,"58,789",78.59%,,,"185,296",63.94%
AK,0,H0AK00097,,John R.,Cox,R,"11,179",14.94%,,,,
AK,0,H2AK00135,,Terr_ L.,Gales,R,"4,841",6.47%,,,,
AK,0,n/a,,,,R,"74,809",,,,,
AK,0,H2AK00119,,Sharon M.,Cissna,D,"16,329",50.32%,,,"82,927",28.61%
AK,0,H2AK00101,,Matt,Moore,D,"7,374",22.73%,,,,
AK,0,H2AK00127,,Debra,Chesnut,D,"5,626",17.34%,,,,
AK,0,H4AK00057,,Frank J.,Vondersaar,D,"2,085",6.43%,,,,
AK,0,H2AK00093,,Doug,Urquidi,D,"1,034",3.19%,,,,
AK,0,n/a,,,,D,"32,448",,,,,
AK,0,H2AK00143,,Jim C.,McDermott,LIB,"5,741",100.00%,,,"15,028",5.19%
AK,0,n/a,,,,LIB,"5,741",,,,,
AK,0,H2AK00176,,Ted,Gianoutsos,NAF,,,,,"5,589",1.93%
AK,0,n/a,,,Scattered,W,,,,,964,0.33%
AK,0,n/a,,,,,"112,998",,,,"289,804",
AK,,n/a,,,,,,,,,,
AK,H,n/a,,,,,"112,998",,,,"289,804",
,,n/a,,,,,,,,,,
AS,0,H0AS00018,(I),Eni F.H.,Faleomavaega,D,,,,,"7,221",55.22%
AS,0,H4AS00036,,Aumua,Amata,CON,,,,,"4,420",33.80%
AS,0,H8AS00052,,Rosie F. Tago,Lancaster,IND,,,,,697,5.33%
AS,0,H2AS00055,,"Kereti, Jr.",Mata'utia,D,,,,,438,3.35%
AS,0,H2AS00063,,Fatumalala Leulua'iali'i A.,Al-Sheri,NPA,,,,,300,2.29%
AS,0,n/a,,,,,,,,,"13,076",
AS,,n/a,,,,,,,,,,
AS,H,n/a,,,,,,,,,"13,076",
,,n/a,,,,,,,,,,
AZ,,n/a,,,,,,,,,,
AZ,1,H8AZ01104,,Ann,Kirkpatrick,D,"33,831",63.74%,,,"122,774",48.80%
AZ,1,H2AZ01271,,Wenona,Benally Baldenegro,D,"19,247",36.26%,,,,
AZ,1,n/a,,,,D,"53,078",,,,,
AZ,1,H0AZ08056,,Jonathan,Paton,R,"28,644",60.86%,,,"113,594",45.15%
AZ,1,H2AZ01305,,Gaither,Martin,R,"8,958",19.03%,,,,
AZ,1,H2AZ01289,,Douglas,Wade,R,"6,758",14.36%,,,,
AZ,1,H2AZ01313,,Patrick,Gatti,R,"2,707",5.75%,,,,
AZ,1,n/a,,,,R,"47,067",,,,,
AZ,1,H2AZ01321,,Kim,Allen,W(LIB)/LIB,97,100.00%,,,"15,227",6.05%
AZ,1,n/a,,,,LIB,97,,,,,
AZ,1,n/a,,,,,"100,242",,,,"251,595",
AZ,,n/a,,,,,,,,,,
AZ,2,H2AZ08094,(I),Ron ,Barber,D,"51,206",82.03%,,,"147,338",50.41%
AZ,2,H2AZ08078,,Matt,Heinz,D,"11,213",17.96%,,,,
