Party Label,Party Name,Class,Found info?,Notes
AA,Abundant America,I,n,
ABC,Anti-Bushist Candidate,I,n,
AC,Agent of Change,I,n,
ACP,American Congress Party,I,n,
ADB,All-Day Breakfast Party,I,y,
AE,Americans Elect,I,y,
AF,America First,R,y,
AIF,America’s Independent Party of Florida,R,y,
AIP,American Independent ,R,y,
AIV,An Independent Voice,I,y,
AKI,Alaskan Independence,R,y,
AKL,Alaska Libertarian,I,y,
ALP,American Labor Party,I,n,
AMC,American Constitution Party,R,y,
AMI,America’s Independent,R,y,
AMP,America’s Party,R,y,
AND,A New Direction,I,n,
ANT,Action No Talk,I,n,
APF,America’s Party of Florida,R,y,
APP,Anti-Prohibition,I,y,
ARM,American Renaissance Movement,I,n,
ATP,American Third Position,R,y,
BBA,Back to Basics,I,n,
BD,Be Determined,I,n,
BFC,Bednarski for Congress,I,y,
BFJ,Bob's for Jobs,R,y,
BFS,Boss for Senate,I,y,
BHT,Bring Home Troops,I,n,
BLD,Builders,I,n,
BP,By Petition,I,n,
BTP,Boston Tea Party,R,y,
C,Conservative,R,y,
CC,Constitutional Conservative,R,y,
CCC,"Conservative, Compassionate, Creative",R,y,
CEN,Centrist,I,n,
CFL,Connecticut for Lieberman,I,y,
CG,Constitutional Government,R,n,
CGR,Coalition on Government Reform,I,n,
CHA,"Change, Change, Change",I,n,
CHF,Christian Freedom,I,y,
CL,Citizen Legislator,R,n,
CMS,Common Sense Ideas,I,y,
CNC,Concerned Citizens,R,y,
CNJ,Constitution Party NJ,R,y,
CON,Constitution ,R,y,
COU,Country,I,n,
CPA,Constitution Party of Alabama,R,y,
CPF,Constitution Party Of Florida,R,y,
CPI,Constitution Party of Illinois,R,y,
CPP,Concerns Of People Party,I,y,
CPW,Constitution Party of Wisconsin,R,y,
CRP,Colorado Reform Party ,I,n,
CRV,Conservative,R,y,
CRV,Conservative,R,y,
CSP,Common Sense,I,y,
CST,Constitutional,R,y,
D,Democratic ,D,y,
DAC,Defend American Constitution,R,y,
DCG,D.C. Statehood Green,D,y,
DEM,Democratic,D,y,
DFL,Democratic-Farmer Labor,D,y,
DGR,Desert Greens,D,y,
DIS,Diversity Is Strength,I,n,
DNL,Democratic-Nonpartisan League,D,y,
ECO,Ecology Party of Florida,I,y,
ENE,Energy Independence,I,n,
EPU,E Pluribus Unum,I,n,
ETP,Eliminate the Primary,I,n,
EWP,Employmentwealth Party,I,n,
FA,For Americans,I,n,
FAA,For All Americans,I,n,
FDR,F.D.R. Democrat Party,D,n,
FRE,Freedom,R,y,
FSL,Party for Socialism and Liberation-Florida,D,y,
FSW,Florida Socialist Workers,D,y,
FTP,For The People,I,n,
FWP,Florida Whig Party,R,y,
GBS,Gravity Buoyancy Solution,I,n,
GI,Green Independent ,D,y,
GOP,Grand Old Party,R,y,
GPF,Green Party Of Florida,D,y,
GPP,Green Populist,D,y,
GPU,Green Party of Utah,D,y,
GR,Green-Rainbow,D,y,
GRA,Green Party Of Arkansas,D,y,
GRC,Green Party of Colorado,D,y,
GRE,Green,D,y,
GRN,Green ,D,y,
GRT,Grassroots,I,y,
GTP,Green Tea Patriots,I,n,
GWT,God We Trust,I,n,
HEA,Healthcare Party,I,n,
HFC,Hsing for Congress,I,y,
HMR,Help Middlesex/Monmouth/Somerset/Union Residents,I,y,
HQK,HeartQuake ‘08,I,y,
I,Independent ,I,n,
IAP,Independent American ,I,y,
IBN,Impeach Bush Now,I,n,
ICC,Independent Citizen for Constitutional Government,I,y,
IDA,I.D.E.A.,I,n,
IDE,Independent Party Of Delaware,I,y,
IDP,Independence ,I,n,
IFL,Independent for Liberty,I,y,
IFM,Independent for Maine,I,y,
IG,Iowa Green Party,D,y,
IGR,Independent Green,I,y,
IMN,Immigration Moratorium Now,I,n,
IND,Independent,I,y,
INP,Independent Patriots,I,y,
INW,Independent No War No Bailout,I,y,
IP,Independent Party,I,y,
IPN,Impeach Now,I,n,
IPR,Independent/Progressive,I,n,
