OPENSECRETS.INDUSTRY,YEAR,STATE,FIRST,LAST,DISTRICT,CANDIDATE,PARTY,AMOUNT,INDUSTRYPERCENT,CANDTOTAL,INCUMBENT,VOTES,PERCENT,PRIMARY.INDUSTRY,SECONDARY.INDUSTRY1,SECONDARY.INDUSTRY2,SECONDARY.INDUSTRY3,WINNER,TotalRaceFunds,RaceFundPerc,CANDTOTALLEVEL,VOTESLEVEL,INDRANK,X,Sector,AdjClose,Group,YrPercentChange,RelYear
Food & Beverage,2004,AK,DON,YOUNG,1,DON YOUNG,R,56750,0.037063427,1531159,1,213216,0.7107,Consumer Staples,,,,1,1531159,1,High,High,7,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Building Materials & Equipment,2004,AK,DON,YOUNG,1,DON YOUNG,R,70383,0.04596714,1531159,1,213216,0.7107,Materials,Industrials,,,1,1531159,1,High,High,6,18,Materials,994.347645,Values0506b,0.30380417,2004
Oil & Gas,2004,AK,DON,YOUNG,1,DON YOUNG,R,93450,0.061032198,1531159,1,213216,0.7107,Energy,,,,1,1531159,1,High,High,5,13,Energy,1348.010537,Values0506b,0.628528397,2004
Air Transport,2004,AK,DON,YOUNG,1,DON YOUNG,R,430440,0.28112038,1531159,1,213216,0.7107,Industrials,,,,1,1531159,1,High,High,2,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Automotive,2004,AK,DON,YOUNG,1,DON YOUNG,R,106600,0.069620464,1531159,1,213216,0.7107,Consumer Discretionary,,,,1,1531159,1,High,High,4,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Agricultural Services/Products,2004,AL,JO,BONNER,1,JO BONNER,R,91811,0.128816503,712727,1,161067,0.6312,Consumer Staples,,,,1,850037,0.838465855,Mid-Low,Mid-High,3,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Commercial Banks,2004,AL,JO,BONNER,1,JO BONNER,R,59900,0.0840434,712727,1,161067,0.6312,Financials,,,,1,850037,0.838465855,Mid-Low,Mid-High,4,14,Financials,5555.739999,Values0506b,0.351064506,2004
Building Materials & Equipment,2004,AL,JO,BONNER,1,JO BONNER,R,55000,0.077168397,712727,1,161067,0.6312,Materials,Industrials,,,1,850037,0.838465855,Mid-Low,Mid-High,5,18,Materials,994.347645,Values0506b,0.30380417,2004
Hospitals/Nursing Homes,2004,AL,JUDY,BELK,1,JUDY MCCAIN BELK,D,2500,0.018206977,137310,0,93938,0.3681,Health Care,,,,0,850037,0.161534145,Very Low,Mid-Low,6,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Construction Services,2004,AL,JO,BONNER,1,JO BONNER,R,50200,0.0704337,712727,1,161067,0.6312,Industrials,,,,1,850037,0.838465855,Mid-Low,Mid-High,6,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Automotive,2004,AL,JUDY,BELK,1,JUDY MCCAIN BELK,D,5752,0.041890612,137310,0,93938,0.3681,Consumer Discretionary,,,,0,850037,0.161534145,Very Low,Mid-Low,4,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Crop Production & Basic Processing,2004,AL,JUDY,BELK,1,JUDY MCCAIN BELK,D,2077,0.015126356,137310,0,93938,0.3681,Consumer Staples,,,,0,850037,0.161534145,Very Low,Mid-Low,7,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Electric Utilities,2004,AL,JO,BONNER,1,JO BONNER,R,34366,0.04821762,712727,1,161067,0.6312,Utilities,,,,1,850037,0.838465855,Mid-Low,Mid-High,8,20,Utilities,846.831177,Values0506b,0.387572063,2004
Computers/Internet,2004,AL,JO,BONNER,1,JO BONNER,R,38250,0.053667112,712727,1,161067,0.6312,Consumer Discretionary,Information Technology,,,1,850037,0.838465855,Mid-Low,Mid-High,7,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Commercial Banks,2004,AL,JUDY,BELK,1,JUDY MCCAIN BELK,D,5950,0.043332605,137310,0,93938,0.3681,Financials,,,,0,850037,0.161534145,Very Low,Mid-Low,3,14,Financials,5555.739999,Values0506b,0.351064506,2004
Telecom Services & Equipment,2004,AL,JUDY,BELK,1,JUDY MCCAIN BELK,D,1800,0.013109023,137310,0,93938,0.3681,Telecommunication Services,,,,0,850037,0.161534145,Very Low,Mid-Low,8,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Misc Business,2004,AL,JUDY,BELK,1,JUDY MCCAIN BELK,D,2750,0.020027675,137310,0,93938,0.3681,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,850037,0.161534145,Very Low,Mid-Low,5,18,Materials,994.347645,Values0506b,0.30380417,2004
Construction Services,2004,AL,TERRY,EVERETT,2,TERRY EVERETT,R,147200,0.296236667,496900,1,177086,0.7142,Industrials,,,,1,497200,0.999396621,Mid-Low,Mid-High,1,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Commercial Banks,2004,AL,TERRY,EVERETT,2,TERRY EVERETT,R,56900,0.114509962,496900,1,177086,0.7142,Financials,,,,1,497200,0.999396621,Mid-Low,Mid-High,4,14,Financials,5555.739999,Values0506b,0.351064506,2004
Automotive,2004,AL,TERRY,EVERETT,2,TERRY EVERETT,R,45400,0.091366472,496900,1,177086,0.7142,Consumer Discretionary,,,,1,497200,0.999396621,Mid-Low,Mid-High,6,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Electric Utilities,2004,AL,TERRY,EVERETT,2,TERRY EVERETT,R,17000,0.034212115,496900,1,177086,0.7142,Utilities,,,,1,497200,0.999396621,Mid-Low,Mid-High,7,20,Utilities,846.831177,Values0506b,0.387572063,2004
Agricultural Services/Products,2004,AL,TERRY,EVERETT,2,TERRY EVERETT,R,77300,0.1555645,496900,1,177086,0.7142,Consumer Staples,,,,1,497200,0.999396621,Mid-Low,Mid-High,3,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Securities & Investment,2004,AL,BILL,FULLER,3,BILL FULLER,D,3265,0.014719009,221822,0,95240,0.3875,Financials,,,,0,1482675,0.149609321,Very Low,Mid-Low,3,14,Financials,5555.739999,Values0506b,0.351064506,2004
Misc Business,2004,AL,BILL,FULLER,3,BILL FULLER,D,1162,0.005238434,221822,0,95240,0.3875,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,1482675,0.149609321,Very Low,Mid-Low,5,18,Materials,994.347645,Values0506b,0.30380417,2004
Automotive,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,66600,0.052821384,1260853,1,150411,0.612,Consumer Discretionary,,,,1,1482675,0.850390679,Mid-High,Mid-High,5,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Environmental Svcs/Equipment,2004,AL,BILL,FULLER,3,BILL FULLER,D,1000,0.004508119,221822,0,95240,0.3875,Industrials,,,,0,1482675,0.149609321,Very Low,Mid-Low,6,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Oil & Gas,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,32750,0.025974479,1260853,1,150411,0.612,Energy,,,,1,1482675,0.850390679,Mid-High,Mid-High,9,13,Energy,1348.010537,Values0506b,0.628528397,2004
Mining,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,36000,0.028552099,1260853,1,150411,0.612,Materials,,,,1,1482675,0.850390679,Mid-High,Mid-High,8,18,Materials,994.347645,Values0506b,0.30380417,2004
Defense Aerospace,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,148249,0.117578338,1260853,1,150411,0.612,Industrials,,,,1,1482675,0.850390679,Mid-High,Mid-High,3,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Commercial Banks,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,146523,0.116209423,1260853,1,150411,0.612,Financials,,,,1,1482675,0.850390679,Mid-High,Mid-High,4,14,Financials,5555.739999,Values0506b,0.351064506,2004
Agricultural Services/Products,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,61750,0.048974781,1260853,1,150411,0.612,Consumer Staples,,,,1,1482675,0.850390679,Mid-High,Mid-High,6,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Electric Utilities,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,52425,0.041578995,1260853,1,150411,0.612,Utilities,,,,1,1482675,0.850390679,Mid-High,Mid-High,7,20,Utilities,846.831177,Values0506b,0.387572063,2004
Printing & Publishing,2004,AL,BILL,FULLER,3,BILL FULLER,D,2750,0.012397328,221822,0,95240,0.3875,Consumer Discretionary,Industrials,,,0,1482675,0.149609321,Very Low,Mid-Low,4,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
