"","Name","Party","Cycle","Industry","Total","industrypercent","candtotal","unique_id","the_number_match"
"851100","Jo Bonner","R",2012,"Commercial Banks",24000,0.0362770660923,661575,"Jo Bonner2012R661575","FF"
"852100","Jo Bonner","R",2012,"Misc Manufacturing & Distributing",23500,0.035521293882,661575,"Jo Bonner2012R661575","FF"
"853100","Jo Bonner","R",2012,"Crop Production & Basic Processing",23500,0.035521293882,661575,"Jo Bonner2012R661575","FF"
"85434","Jo Bonner","R",2012,"Defense Electronics",23500,0.035521293882,661575,"Jo Bonner2012R661575","FF"
"85514","Jo Bonner","R",2012,"Electric Utilities",21500,0.032498205041,661575,"Jo Bonner2012R661575","FF"
"85622","Jo Bonner","R",2012,"Building Materials & Equipment",21500,0.032498205041,661575,"Jo Bonner2012R661575","FF"
"857100","Jo Bonner","R",2012,"Forestry & Forest Products",20750,0.0313645467256,661575,"Jo Bonner2012R661575","FF"
"858100","Jo Bonner","R",2012,"Agricultural Services/Products",19750,0.0298530023051,661575,"Jo Bonner2012R661575","FF"
"859100","Jo Bonner","R",2012,"Construction Services",18250,0.0275856856743,661575,"Jo Bonner2012R661575","FF"
"86022","Jo Bonner","R",2012,"General Contractors",16250,0.0245625968333,661575,"Jo Bonner2012R661575","FF"
"872100","Martha Roby","R",2012,"Accountants",24500,0.0398568407353,614700,"Martha Roby2012R614700","FF"
"873100","Martha Roby","R",2012,"Commercial Banks",23500,0.0382300309094,614700,"Martha Roby2012R614700","FF"
"874100","Martha Roby","R",2012,"Building Materials & Equipment",22050,0.0358711566618,614700,"Martha Roby2012R614700","FF"
"875100","Martha Roby","R",2012,"Special Trade Contractors",18250,0.0296892793232,614700,"Martha Roby2012R614700","FF"
"876100","Martha Roby","R",2012,"Securities & Investment",17250,0.0280624694973,614700,"Martha Roby2012R614700","FF"
"877100","Martha Roby","R",2012,"Lobbyists",16450,0.0267610216366,614700,"Martha Roby2012R614700","FF"
"87887","Martha Roby","R",2012,"Automotive",15000,0.024402147389,614700,"Martha Roby2012R614700","FF"
"87929","Martha Roby","R",2012,"Retail Sales",14000,0.022775337563,614700,"Martha Roby2012R614700","FF"
"88010","Martha Roby","R",2012,"Food Processing & Sales",13500,0.0219619326501,614700,"Martha Roby2012R614700","FF"
