"OPENSECRETS.INDUSTRY","YEAR","STATE","FIRST","LAST","DISTRICT","CANDIDATE","PARTY","AMOUNT","INDUSTRYPERCENT","CANDTOTAL","INCUMBENT","VOTES","PERCENT","PRIMARY.INDUSTRY","SECONDARY.INDUSTRY1","SECONDARY.INDUSTRY2","SECONDARY.INDUSTRY3","WINNER","indrank","TotalRaceFunds","RaceFundPerc","X","Sector","AdjClose","Group","YrPercentChange","RelYear"
"Agricultural Services/Products",2004,"AL","JO","BONNER","1","JO BONNER","R",91811,0.1288165033737,712727,1,161067,0.6312,"Consumer Staples","","","",1,3,850037,0.838465855015723,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Building Materials & Equipment",2004,"AL","JO","BONNER","1","JO BONNER","R",55000,0.0771683968756,712727,1,161067,0.6312,"Materials","Industrials","","",1,5,850037,0.838465855015723,18,"Materials",994.347645,"Values0506b",30.380416957915,"2004"
"Hospitals/Nursing Homes",2004,"AL","JUDY","BELK","1","JUDY MCCAIN BELK","D",2500,0.01820697691351,137310,0,93938,0.3681,"Health Care","","","",0,6,850037,0.161534144984277,15,"Health Care",1854.677021,"Values0506b",20.8390015309827,"2004"
"Construction Services",2004,"AL","JO","BONNER","1","JO BONNER","R",50200,0.070433700421,712727,1,161067,0.6312,"Industrials","","","",1,6,850037,0.838465855015723,16,"Industrials",2247.393539,"Values0506b",28.2912484881694,"2004"
"Automotive",2004,"AL","JUDY","BELK","1","JUDY MCCAIN BELK","D",5752,0.04189061248272,137310,0,93938,0.3681,"Consumer Discretionary","","","",0,4,850037,0.161534144984277,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Crop Production & Basic Processing",2004,"AL","JUDY","BELK","1","JUDY MCCAIN BELK","D",2077,0.01512635641978,137310,0,93938,0.3681,"Consumer Staples","","","",0,7,850037,0.161534144984277,12,"Consumer Staples",954.249739,"Values0506b",16.0713877776614,"2004"
"Electric Utilities",2004,"AL","JO","BONNER","1","JO BONNER","R",34366,0.0482176204914,712727,1,161067,0.6312,"Utilities","","","",1,8,850037,0.838465855015723,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Computers/Internet",2004,"AL","JO","BONNER","1","JO BONNER","R",38250,0.0536671123726,712727,1,161067,0.6312,"Consumer Discretionary","Information Technology","","",1,7,850037,0.838465855015723,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Telecom Services & Equipment",2004,"AL","JUDY","BELK","1","JUDY MCCAIN BELK","D",1800,0.0131090233778,137310,0,93938,0.3681,"Telecommunication Services","","","",0,8,850037,0.161534144984277,19,"Telecommunication Services",75.598322,"Values0506b",24.3061425698136,"2004"
"Misc Business",2004,"AL","JUDY","BELK","1","JUDY MCCAIN BELK","D",2750,0.0200276746049,137310,0,93938,0.3681,"Materials","Consumer Discretionary","Consumer Staples","Industrials",0,5,850037,0.161534144984277,18,"Materials",994.347645,"Values0506b",30.380416957915,"2004"
"Automotive",2004,"AL","TERRY","EVERETT","2","TERRY EVERETT","R",45400,0.0913664721272,496900,1,177086,0.7142,"Consumer Discretionary","","","",1,6,497200,0.999396621078037,11,"Consumer Discretionary",2212.326524,"Values0506b",18.4187271843315,"2004"
"Electric Utilities",2004,"AL","TERRY","EVERETT","2","TERRY EVERETT","R",17000,0.0342121151137,496900,1,177086,0.7142,"Utilities","","","",1,7,497200,0.999396621078037,20,"Utilities",846.831177,"Values0506b",38.7572063080446,"2004"
"Misc Business",2004,"AL","BILL","FULLER","3","BILL FULLER","D",1162,0.00523843442039,221822,0,95240,0.3875,"Materials","Consumer Discretionary","Consumer Staples","Industrials",0,5,1482675,0.149609320990777,18,"Materials",994.347645,"Values0506b",30.380416957915,"2004"
