OPENSECRETS.INDUSTRY,YEAR,STATE,FIRST,LAST,DISTRICT,CANDIDATE,PARTY,AMOUNT,INDUSTRYPERCENT,CANDTOTAL,INCUMBENT,VOTES,PERCENT,PRIMARY.INDUSTRY,SECONDARY.INDUSTRY1,SECONDARY.INDUSTRY2,SECONDARY.INDUSTRY3,WINNER,indrank,TotalRaceFunds,RaceFundPerc,X,Sector,AdjClose,Group,YrPercentChange,RelYear
Food & Beverage,2004,AK,DON,YOUNG,1,DON YOUNG,R,56750,0.037063427,1531159,1,213216,0.7107,Consumer Staples,,,,1,7,1531159,1,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Building Materials & Equipment,2004,AK,DON,YOUNG,1,DON YOUNG,R,70383,0.04596714,1531159,1,213216,0.7107,Materials,Industrials,,,1,6,1531159,1,18,Materials,994.347645,Values0506b,0.30380417,2004
Oil & Gas,2004,AK,DON,YOUNG,1,DON YOUNG,R,93450,0.061032198,1531159,1,213216,0.7107,Energy,,,,1,5,1531159,1,13,Energy,1348.010537,Values0506b,0.628528397,2004
Air Transport,2004,AK,DON,YOUNG,1,DON YOUNG,R,430440,0.28112038,1531159,1,213216,0.7107,Industrials,,,,1,2,1531159,1,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Automotive,2004,AK,DON,YOUNG,1,DON YOUNG,R,106600,0.069620464,1531159,1,213216,0.7107,Consumer Discretionary,,,,1,4,1531159,1,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
"Beer, Wine & Liquor",2004,AK,JAMES,SYKES,S,JAMES L SYKES,I,232,0.077800134,2982,0,3053,0.0099,Consumer Staples,,,,0,3,5964674,0.000499944,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Air Transport,2004,AK,LISA,MURKOWSKI,S,LISA MURKOWSKI,R,175100,0.062656373,2794608,1,149773,0.4858,Industrials,,,,1,5,5964674,0.468526528,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Business Services,2004,AK,TONY,KNOWLES,S,TONY KNOWLES,D,188565,0.059538995,3167084,0,140424,0.4555,Consumer Discretionary,Industrials,,,0,4,5964674,0.530973528,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Telecom Services & Equipment,2004,AK,LISA,MURKOWSKI,S,LISA MURKOWSKI,R,59562,0.021313186,2794608,1,149773,0.4858,Telecommunication Services,,,,1,9,5964674,0.468526528,19,Telecommunication Services,75.598322,Values0506b,0.243061426,2004
Electric Utilities,2004,AK,LISA,MURKOWSKI,S,LISA MURKOWSKI,R,153767,0.055022744,2794608,1,149773,0.4858,Utilities,,,,1,7,5964674,0.468526528,20,Utilities,846.831177,Values0506b,0.387572063,2004
Misc Business,2004,AK,JAMES,SYKES,S,JAMES L SYKES,I,1000,0.335345406,2982,0,3053,0.0099,Materials,Consumer Discretionary,Consumer Staples,Industrials,0,2,5964674,0.000499944,18,Materials,994.347645,Values0506b,0.30380417,2004
Oil & Gas,2004,AK,LISA,MURKOWSKI,S,LISA MURKOWSKI,R,202063,0.072304595,2794608,1,149773,0.4858,Energy,,,,1,4,5964674,0.468526528,13,Energy,1348.010537,Values0506b,0.628528397,2004
Mining,2004,AK,LISA,MURKOWSKI,S,LISA MURKOWSKI,R,58000,0.020754252,2794608,1,149773,0.4858,Materials,,,,1,10,5964674,0.468526528,18,Materials,994.347645,Values0506b,0.30380417,2004
Food & Beverage,2004,AK,LISA,MURKOWSKI,S,LISA MURKOWSKI,R,140050,0.050114363,2794608,1,149773,0.4858,Consumer Staples,,,,1,8,5964674,0.468526528,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Misc Finance,2004,AK,TONY,KNOWLES,S,TONY KNOWLES,D,425740,0.134426495,3167084,0,140424,0.4555,Financials,,,,0,3,5964674,0.530973528,14,Financials,5555.739999,Values0506b,0.351064506,2004
Insurance,2004,AK,LISA,MURKOWSKI,S,LISA MURKOWSKI,R,380181,0.136040904,2794608,1,149773,0.4858,Financials,,,,1,3,5964674,0.468526528,14,Financials,5555.739999,Values0506b,0.351064506,2004
Automotive,2004,AK,LISA,MURKOWSKI,S,LISA MURKOWSKI,R,173187,0.06197184,2794608,1,149773,0.4858,Consumer Discretionary,,,,1,6,5964674,0.468526528,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
Agricultural Services/Products,2004,AL,JO,BONNER,1,JO BONNER,R,91811,0.128816503,712727,1,161067,0.6312,Consumer Staples,,,,1,3,850037,0.838465855,12,Consumer Staples,954.249739,Values0506b,0.160713878,2004
Commercial Banks,2004,AL,JO,BONNER,1,JO BONNER,R,59900,0.0840434,712727,1,161067,0.6312,Financials,,,,1,4,850037,0.838465855,14,Financials,5555.739999,Values0506b,0.351064506,2004
Building Materials & Equipment,2004,AL,JO,BONNER,1,JO BONNER,R,55000,0.077168397,712727,1,161067,0.6312,Materials,Industrials,,,1,5,850037,0.838465855,18,Materials,994.347645,Values0506b,0.30380417,2004
Hospitals/Nursing Homes,2004,AL,JUDY,BELK,1,JUDY MCCAIN BELK,D,2500,0.018206977,137310,0,93938,0.3681,Health Care,,,,0,6,850037,0.161534145,15,Health Care,1854.677021,Values0506b,0.208390015,2004
Construction Services,2004,AL,JO,BONNER,1,JO BONNER,R,50200,0.0704337,712727,1,161067,0.6312,Industrials,,,,1,6,850037,0.838465855,16,Industrials,2247.393539,Values0506b,0.282912485,2004
Automotive,2004,AL,JUDY,BELK,1,JUDY MCCAIN BELK,D,5752,0.041890612,137310,0,93938,0.3681,Consumer Discretionary,,,,0,4,850037,0.161534145,11,Consumer Discretionary,2212.326524,Values0506b,0.184187272,2004
