KEY,STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,PARTY,YEAR,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %
CA|11|David|Christensen|2008,CA,11,n/a,False,David,Christensen,W,2008,,,,,12,0.0
AK|0|Gabrielle|LeDoux|2008,AK,0,H8AK00116,False,Gabrielle,LeDoux,R,2008,9901,0.0934,,,,
"IL|2|Jesse L., Jr.|Jackson|2008",IL,2,H6IL02124,True,"Jesse L., Jr.",Jackson,D,2008,149760,1.0,,,251052,0.8941
NY|21|Paul D.|Tonko|2008,NY,21,H8NY21203,False,Paul D.,Tonko,"D,WF",2008,15932,0.395,,,159849,0.5794
KS|3|Joe¾|Bellis|2008,KS,3,H8KS03072,False,Joe¾,Bellis,LBT,2008,,,,,10073,0.0281
IN|3|Scott|Wise|2008,IN,3,H8IN03068,False,Scott,Wise,R,2008,11946,0.2293,,,,
PA|5|Matt|Shaner|2008,PA,5,H8PA05063,False,Matt,Shaner,R,2008,12860,0.17629999999999998,,,,
TX|8|Kevin|Brady|2008,TX,8,H6TX08100,True,Kevin,Brady,R,2008,51011,1.0,,,207128,0.7256
TX|27|Solomon P.|Ortiz|2008,TX,27,H2TX27026,True,Solomon P.,Ortiz,D,2008,77513,1.0,,,104864,0.5795
MN|7|Glen|Menze|2008,MN,7,H0MN07034,False,Glen,Menze,R,2008,7698,0.5177,,,87062,0.2767
FL|2|Mark|Mulligan|2008,FL,2,H8FL02089,False,Mark,Mulligan,R,2008,28734,0.6803,,,133404,0.38079999999999997
TN|4|Monty J.|Lankford|2008,TN,4,H8TN04040,False,Monty J.,Lankford,R,2008,13363,0.627,,,94447,0.37810000000000005
SC|3|J. Gresham|Barrett|2008,SC,3,H2SC03057,True,J. Gresham,Barrett,R,2008,0,,,,186799,0.6469
SC|1|Paul V.|Norris|2008,SC,1,H8SC01074,False,Paul V.,Norris,R,2008,6718,0.1105,,,,
FL|19|Robert|Wexler|2008,FL,19,H6FL19038,True,Robert,Wexler,D,2008,0,,,,202465,0.6616
CA|21|Devin G.|Nunes|2008,CA,21,H8CA20059,True,Devin G.,Nunes,R,2008,41638,1.0,,,143498,0.6839
TX|5|Ken|Ashby|2008,TX,5,H8TX05052,False,Ken,Ashby,LBT,2008,,,,,31967,0.1641
AZ|1|Preston|Korn|2008,AZ,1,H8AZ01146,False,Preston,Korn,R,2008,1596,0.035,,,,
NJ|8|Roland|Straten|2008,NJ,8,H8NJ08056,False,Roland,Straten,R,2008,5859,1.0,,,63107,0.2817
UT|2|Dennis Ray|Emery|2008,UT,2,H8UT02172,False,Dennis Ray,Emery,CON,2008,,,,,3000,0.0086
"NH|2|""Bob""|Clegg|2008",NH,2,H8NH02200,False,"""Bob""",Clegg,"R,W(D)",2008,10771,0.33899999999999997,,,,
IN|2|Joe|Donnelly|2008,IN,2,H4IN02101,True,Joe,Donnelly,D,2008,119217,1.0,,,187416,0.6709
CO|1|Charles R.|Crain|2008,CO,1,H4CO01088,False,Charles R.,Crain,R,2008,4533,0.41840000000000005,,,,
"CA|33|David C., II|Crowley|2008",CA,33,H8CA33243,False,"David C., II",Crowley,R,2008,4680,1.0,,,26536,0.1243
TX|15|Rub_n|Hinojosa|2008,TX,15,H6TX15055,True,Rub_n,Hinojosa,D,2008,77227,1.0,,,107578,0.6570999999999999
ME|1|Adam Roland|Cote|2008,ME,1,H8ME01146,False,Adam Roland,Cote,D,2008,15706,0.2836,,,,
OR|5|Steve|Marks|2008,OR,5,H8OR05115,False,Steve,Marks,D,2008,17643,0.1827,,,,
MO|9|Lyndon|Bode|2008,MO,9,H8MO09096,False,Lyndon,Bode,D,2008,6565,0.1288,,,,
TX|8|Kent|Hargett|2008,TX,8,H8TX08056,False,Kent,Hargett,D,2008,55817,1.0,,,70758,0.24789999999999998
CA|44|Bill|Hedrick|2008,CA,44,H8CA44091,False,Bill,Hedrick,D,2008,20074,1.0,,,123890,0.48810000000000003
SC|S|Michael|Cone|2008,SC,S,S8SC00118,False,Michael,Cone,D,2008,73127,0.4964,,,,
WA|7|Goodspaceguy|Nelson|2008,WA,7,H8WA07181,False,Goodspaceguy,Nelson,D,2008,3199,0.0248,,,,
"NJ|8|Bill, Jr.|Pascrell|2008",NJ,8,H6NJ08118,True,"Bill, Jr.",Pascrell,D,2008,19948,1.0,,,159279,0.7111
GA|S|Rand|Knight|2008,GA,S,S8GA00115,False,Rand,Knight,D,2008,25667,0.052000000000000005,,,,
FL|8|Alexander|Fry|2008,FL,8,H8FL08086,False,Alexander,Fry,D,2008,1030,0.031,,,,
NV|3|Dina|Titus|2008,NV,3,H8NV03036,False,Dina,Titus,D,2008,22232,0.8471,,,165912,0.4743
TX|3|Christopher J.|Claytor|2008,TX,3,H2TX27117,False,Christopher J.,Claytor,LBT,2008,,,,,6348,0.0222
CA|16|Zoe|Lofgren|2008,CA,16,H4CA16049,True,Zoe,Lofgren,D,2008,39616,1.0,,,146481,0.7134
AL|5|Wayne|Parker|2008,AL,5,H4AL05025,False,Wayne,Parker,R,2008,18515,0.488,16031,0.7873,147314,0.4794
IN|3|Mark Edward|Souder|2008,IN,3,H4IN04099,True,Mark Edward,Souder,R,2008,40161,0.7706999999999999,,,155693,0.5504
GA|1|Jack|Kingston|2008,GA,1,H2GA01157,True,Jack,Kingston,R,2008,32470,1.0,,,165890,0.6653
UT|1|Rob|Bishop|2008,UT,1,H2UT01094,True,Rob,Bishop,R,2008,,,,,196799,0.6485
NJ|8|Derek|DeMarco|2008,NJ,8,H8NJ08064,False,Derek,DeMarco,LBT,2008,,,,,1600,0.0070999999999999995
OH|2|Phil|Heimlich|2008,OH,2,H8OH02058,False,Phil,Heimlich,R,2008,,,,,,
IN|5|Clayton L.|Alfred|2008,IN,5,H4IN05070,False,Clayton L.,Alfred,R,2008,2742,0.0311,,,,
"AK|S|Fredrick D. ""David""|Haase|2008",AK,S,S8AK00165,False,"Fredrick D. ""David""",Haase,LBT,2008,1375,1.0,,,2483,0.0078000000000000005
"LA|4|""Jeff""|Thompson|2008",LA,4,H8LA04266,False,"""Jeff""",Thompson,R,2008,12693,0.30760000000000004,,,,
CA|49|Lars R.|Grossmith|2008,CA,49,H4CA49081,False,Lars R.,Grossmith,LBT,2008,292,1.0,,,10232,0.0425
RI|2|Mark S.|Zaccaria|2008,RI,2,H8RI02108,False,Mark S.,Zaccaria,R,2008,1030,1.0,,,67433,0.2981
LA|S|Richard|Fontanesi|2008,LA,S,S4LA00081,False,Richard,Fontanesi,LBT,2008,0,,,,18590,0.0098
MD|4|Michael Moshe|Starkman|2008,MD,4,H6MD04191,False,Michael Moshe,Starkman,R,2008,3200,0.25429999999999997,,,,
"LA|S|""Jay""|Patel|2008",LA,S,S8LA00090,False,"""Jay""",Patel,NPA,2008,,,,,13729,0.0072
VA|9|Rick C.|Boucher|2008,VA,9,H2VA09010,True,Rick C.,Boucher,D,2008,,,,,207306,0.9706999999999999
AZ|1|Howard|Shanker|2008,AZ,1,H8AZ01070,False,Howard,Shanker,D,2008,8056,0.1423,,,,
CO|S|Bob|Schaffer|2008,CO,S,S4CO00171,False,Bob,Schaffer,R,2008,239212,1.0,,,990784,0.4249
NC|11|Carl|Mumpower|2008,NC,11,H8NC11079,False,Carl,Mumpower,R,2008,19678,0.4817,,,122087,0.3583
PA|5|Derek A.|Walker|2008,PA,5,H8PA05089,False,Derek A.,Walker,R,2008,13153,0.18030000000000002,,,,
SC|2|Joe|Wilson|2008,SC,2,H2SC02059,True,Joe,Wilson,R,2008,44783,0.8512000000000001,,,184583,0.5374
FL|22|Piotr|Blass|2008,FL,22,H8FL00026,False,Piotr,Blass,W,2008,,,,,6,0.0
MI|6|Edward|Pinkney|2008,MI,6,H8MI06106,False,Edward,Pinkney,GRE,2008,,,,,3512,0.011000000000000001
OK|4|Tom|Cole|2008,OK,4,H2OK04055,True,Tom,Cole,R,2008,0,,,,180080,0.6602
ID|1|Larry|Grant|2008,ID,1,H6ID01185,False,Larry,Grant,D,2008,,,,,,
OK|2|Kevin|Coleman|2008,OK,2,H8OK02122,False,Kevin,Coleman,D,2008,11438,0.1476,,,,
TX|9|Al|Green|2008,TX,9,H4TX09095,True,Al,Green,D,2008,73657,1.0,,,143868,0.9365000000000001
CA|1|Pamela|Elizondo|2008,CA,1,n/a,False,Pamela,Elizondo,W,2008,,,,,14,0.0
CA|49|Robert|Hamilton|2008,CA,49,H8CA49041,False,Robert,Hamilton,D,2008,21571,1.0,,,90138,0.37450000000000006
CO|S|Buddy|Moore|2008,CO,S,S8CO00248,False,Buddy,Moore,W,2008,,,,,116,0.0
"AL|S|Mark ""No NCAA""|Townsend|2008",AL,S,S8AL00290,False,"Mark ""No NCAA""",Townsend,D,2008,25058,0.1425,,,,
FL|10|Samm (Denise)|Simpson|2008,FL,10,H6FL10102,False,Samm (Denise),Simpson,D,2008,6445,0.2892,,,,
CA|48|Steve|Young|2008,CA,48,H6CA48070,False,Steve,Young,D,2008,22959,1.0,,,125537,0.4067
MO|9|Dan|Bishir|2008,MO,9,H8MO09161,False,Dan,Bishir,R,2008,890,0.016399999999999998,,,,
TN|4|Don|Strong|2008,TN,4,H6TN04176,False,Don,Strong,R,2008,4199,0.19699999999999998,,,,
IN|2|Mark|Vogel|2008,IN,2,H8IN02136,False,Mark,Vogel,LBT,2008,,,,,7475,0.0268
OR|S|Roger S.|Obrist|2008,OR,S,S8OR00256,False,Roger S.,Obrist,D,2008,12647,0.023,,,,
WI|8|Steve|Kagen|2008,WI,8,H6WI08122,True,Steve,Kagen,D,2008,14500,0.9982,,,193662,0.54
SD|S|Tim|Johnson|2008,SD,S,S6SD00051,True,Tim,Johnson,D,2008,0,,,,237889,0.6249
TX|6|Joe|Barton|2008,TX,6,H4TX06117,True,Joe,Barton,R,2008,42054,1.0,,,174008,0.6202000000000001
CA|45|George|Pearne|2008,CA,45,H8CA45122,False,George,Pearne,R,2008,4618,0.1065,,,,
NY|20|Sandy|Treadwell|2008,NY,20,H8NY20122,False,Sandy,Treadwell,"CRV,IDP,R",2008,0,,,,99930,0.3206
TX|30|Jarrett|Woods|2008,TX,30,H8TX30035,False,Jarrett,Woods,LBT,2008,,,,,3366,0.0165
TX|32|Alex|Bischoff|2008,TX,32,H8TX32049,False,Alex,Bischoff,LBT,2008,,,,,4421,0.0218
CA|3|Douglas Arthur|Tuma|2008,CA,3,H8CA03154,False,Douglas Arthur,Tuma,LBT,2008,347,1.0,,,7273,0.0232
MO|8|Joe|Allen|2008,MO,8,H8MO08072,False,Joe,Allen,D,2008,35418,1.0,,,72790,0.2616
VA|1|Keith B.|Hummel|2008,VA,1,H8VA01212,False,Keith B.,Hummel,D,2008,,,,,,
AZ|7|Joseph|Sweeney|2008,AZ,7,H4AZ02010,False,Joseph,Sweeney,R,2008,11011,0.6683,,,64425,0.32789999999999997
MD|6|Frank K.|Nethken|2008,MD,6,H8MD00021,False,Frank K.,Nethken,R,2008,857,0.0129,,,,
NM|2|Harry|Teague|2008,NM,2,H8NM02032,False,Harry,Teague,D,2008,20281,0.5217,,,129572,0.5596
NY|25|Daniel B.|Maffei|2008,NY,25,H6NY25125,False,Daniel B.,Maffei,"WF,D",2008,0,,,,148290,0.5165
PA|3|Tom|Myers|2008,PA,3,H8PA03043,False,Tom,Myers,D,2008,18584,0.19030000000000002,,,,
KS|2|Lynn¾|Jenkins|2008,KS,2,H8KS02090,False,Lynn¾,Jenkins,R¾,2008,34278,0.5097999999999999,,,155532,0.5061
MD|6|Roscoe|Bartlett|2008,MD,6,H2MD06054,True,Roscoe,Bartlett,R,2008,51635,0.7764,,,190926,0.5776
MN|S|James|Niemackl|2008,MN,S,S8MN00511,False,James,Niemackl,CON,2008,0,,,,8907,0.0031
OH|15|Mary Jo|Kilroy|2008,OH,15,H6OH15104,False,Mary Jo,Kilroy,D,2008,85840,1.0,,,139584,0.4594
NY|26|Jonathan P.|Powers|2008,NY,26,H8NY26061,False,Jonathan P.,Powers,"WF,D",2008,8500,0.3557,,,12104,0.044800000000000006
ID|S|Jim|Risch|2008,ID,S,S8ID00092,False,Jim,Risch,R,2008,80743,0.6534,,,371744,0.5765
TN|4|Bert|Mason|2008,TN,4,H6TN04135,False,Bert,Mason,D,2008,3233,0.0959,,,,
CA|51|Daniel|Ramirez|2008,CA,51,H2CA51131,False,Daniel,Ramirez,D,2008,10182,0.2432,,,,
MN|S|Stephen|Williams|2008,MN,S,S6MN00382,False,Stephen,Williams,IDP,2008,800,0.0705,,,,
MN|3|Ashwin|Madia|2008,MN,3,H8MN03085,False,Ashwin,Madia,DFL,2008,20830,1.0,,,150787,0.40850000000000003
OK|5|Mary|Fallin|2008,OK,5,H6OK05160,True,Mary,Fallin,R,2008,0,,,,171925,0.6589
RI|S|Robert G.|Tingle|2008,RI,S,S2RI00063,False,Robert G.,Tingle,R,2008,1068,1.0,,,116174,0.2647
"WV|3|Nick Joe, II|Rahall|2008",WV,3,H6WV04057,True,"Nick Joe, II",Rahall,D,2008,100801,1.0,,,133522,0.6692
IL|13|Steve|Alesch|2008,IL,13,H8IL13101,False,Steve,Alesch,GRE,2008,105,1.0,,,9402,0.0278
NJ|4|Joshua M.|Zeitz|2008,NJ,4,H8NJ04147,False,Joshua M.,Zeitz,D,2008,13114,1.0,,,100036,0.32630000000000003
NC|S|Pete|Di Lauro|2008,NC,S,S8NC00288,False,Pete,Di Lauro,R,2008,51406,0.10039999999999999,,,,
MS|3|James|Broadwater|2008,MS,3,H8MS03075,False,James,Broadwater,R,2008,424,0.0064,,,,
CA|5|David B.|Lynch|2008,CA,5,H8CA05167,False,David B.,Lynch,W,2008,,,,,180,0.0008
VA|11|Douglas J.|Denneny|2008,VA,11,H8VA11013,False,Douglas J.,Denneny,D,2008,1508,0.061399999999999996,,,,
NC|13|Hugh|Webster|2008,NC,13,H8NC13042,False,Hugh,Webster,R,2008,0,,,,114383,0.3407
TX|22|Cynthia|Dunbar|2008,TX,22,H8TX22172,False,Cynthia,Dunbar,R,2008,2116,0.0377,,,,
OH|11|Marcia L.|Fudge|2008,OH,11,H8OH11141,False,Marcia L.,Fudge,D,2008,,,,,212667,0.8522
VT|0|Mike|Bethel|2008,VT,0,H8VT00133,False,Mike,Bethel,I,2008,,,,,14349,0.0481
PR|0|Carlos A.|Velazquez Lopez|2008,PR,0,H8PR00104,False,Carlos A.,Velazquez Lopez,PPR,2008,,,,,46126,0.0242
