KEY,STATE ABBREVIATION,DISTRICT,FEC ID,INCUMBENT INDICATOR,FIRST NAME,LAST NAME,PARTY,YEAR,PRIMARY,PRIMARY %,RUNOFF,RUNOFF %,GENERAL,GENERAL %
AL|1|Jo|Bonner|2006,AL,1,H2AL01077,True,Jo,Bonner,REP,2006,0,,,,112944,0.6809999999999999
AL|1|Vivian Sheffield|Beckerle|2006,AL,1,H6AL01052,False,Vivian Sheffield,Beckerle,DEM,2006,0,,,,52770,0.3182
AL|2|Terry|Everett|2006,AL,2,H2AL02067,True,Terry,Everett,REP,2006,0,,,,124302,0.6947
AL|2|Charles (Chuck) Dean|James|2006,AL,2,H4AL02063,False,Charles (Chuck) Dean,James,DEM,2006,36058,0.706,,,54450,0.3043
"AL|2|John, Jr.|Morykwas|2006",AL,2,H6AL02134,False,"John, Jr.",Morykwas,DEM,2006,15016,0.294,,,,
AL|3|Mike|Rogers|2006,AL,3,H2AL03032,True,Mike,Rogers,REP,2006,0,,,,98257,0.5943999999999999
AL|3|Greg A.|Pierce|2006,AL,3,H6AL03140,False,Greg A.,Pierce,DEM,2006,0,,,,63559,0.3845
AL|3|Mark Edwin|Layfield|2006,AL,3,H6AL03132,False,Mark Edwin,Layfield,IND,2006,,,,,3414,0.0207
AL|4|Robert B.|Aderholt|2006,AL,4,H6AL04098,True,Robert B.,Aderholt,REP,2006,0,,,,128484,0.7018000000000001
AL|4|Barbara|Bobo|2006,AL,4,H6AL04130,False,Barbara,Bobo,DEM,2006,0,,,,54382,0.29710000000000003
AL|5|Bud|Cramer|2006,AL,5,H0AL05049,True,Bud,Cramer,DEM,2006,0,,,,143015,0.9825
AL|6|Spencer|Bachus|2006,AL,6,H2AL06035,True,Spencer,Bachus,REP,2006,0,,,,163514,0.9832
AL|7|Artur|Davis|2006,AL,7,H0AL07060,True,Artur,Davis,DEM,2006,93586,0.9091,,,133870,0.9904000000000001
AL|7|Eddison T.|Walters|2006,AL,7,H6AL07166,False,Eddison T.,Walters,DEM,2006,9358,0.0909,,,,
AK|0|Don E.|Young|2006,AK,0,H6AK00045,True,Don E.,Young,REP,2006,81089,1.0,,,132743,0.5657
AK|0|Diane E.|Benson|2006,AK,0,H6AK00144,False,Diane E.,Benson,DEM,2006,19421,0.47869999999999996,,,93879,0.40009999999999996
AK|0|Ray |Metcalfe|2006,AK,0,H6AK00169,False,Ray ,Metcalfe,DEM,2006,16529,0.40740000000000004,,,,
