KEY,YEAR,STATE,FIRST,LAST,DISTRICT,CANDIDATE,PARTY,INDUSTRYPERCENT,CANDTOTAL,INCUMBENT,VOTES,PERCENT,WINNER,rank 1,rank 2,rank 3,rank 4,rank 5,AMOUNT of 1,AMOUNT of 2,AMOUNT of 3,AMOUNT of 4,AMOUNT of 5
AK|1|DON|YOUNG|2014,2014,AK,DON,YOUNG,1,DON YOUNG,R,0.190976717,544569,1,125410,0.516,W,Not publicly traded,Not for profit,Consumer Discretionary,Energy,Industrials,131513,128704,104000,59500,52662
AK|1|FORREST|DUNBAR|2014,2014,AK,FORREST,DUNBAR,1,FORREST DUNBAR,D,0.047160913,58311,0,99069,0.408,L,Not for profit,Not publicly traded,Consumer Discretionary,Health Care,Other,41111,8900,2750,1750,1250
AK|S|DAN|SULLIVAN|2014,2014,AK,DAN,SULLIVAN,S,DAN SULLIVAN,R,0.094273676,5029771,0,119579,0.488,W,Not for profit,Financials,Not publicly traded,Consumer Discretionary,Materials,1655610,1456157,793854,474175,330575
AK|S|MARK|BEGICH|2014,2014,AK,MARK,BEGICH,S,MARK BEGICH,D,0.095458474,5410803,1,111668,0.456,L,Not publicly traded,Not for profit,Consumer Discretionary,Financials,Energy,1749519,1647603,516507,498650,393097
AL|1|BRADLEY|BYRNE|2014,2014,AL,BRADLEY,BYRNE,1,BRADLEY BYRNE,R,0.081427609,1131066,1,103320,0.683,W,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Materials,329582,294350,141450,92100,71734
AL|1|BURTON|LEFLORE|2014,2014,AL,BURTON,LEFLORE,1,BURTON LEFLORE,D,0.042016807,8925,0,47913,0.317,L,Not for profit,Health Care,Materials,Industrials,Financials,6350,1000,500,500,375
AL|2|ERICK|WRIGHT|2014,2014,AL,ERICK,WRIGHT,2,ERICK WRIGHT,D,0.555555556,900,0,48789,0.339,L,Financials,Not for profit,Industrials,NULL,NULL,500,200,200,0,0
AL|2|MARTHA|ROBY|2014,2014,AL,MARTHA,ROBY,2,MARTHA ROBY,R,0.06321883,680968,1,95073,0.661,W,Financials,Not for profit,Industrials,Not publicly traded,Consumer Staples,132850,132478,125249,120891,75350
AL|3|MIKE|ROGERS|2014,2014,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,0.026557385,681543,1,102303,0.656,W,Industrials,Not for profit,Not publicly traded,Consumer Staples,Financials,214149,115700,103990,78250,72700
AL|4|ROBERT|ADERHOLT|2014,2014,AL,ROBERT,ADERHOLT,4,ROBERT B ADERHOLT,R,0.040310274,694612,1,NA,NA,L,Industrials,Consumer Staples,Not publicly traded,Financials,Health Care,210745,150498,131480,94250,34000
