KEY,YEAR,STATE,FIRST,LAST,DISTRICT,CANDIDATE,PARTY,INDUSTRYPERCENT,CANDTOTAL,INCUMBENT,VOTES,PERCENT,WINNER,rank 1,rank 2,rank 3,rank 4,rank 5,AMOUNT of 1,AMOUNT of 2,AMOUNT of 3,AMOUNT of 4,AMOUNT of 5
AK|1|DON|YOUNG|2004,2004,AK,DON,YOUNG,1,DON YOUNG,R,0.069620464,1531159,1,213216,0.7107,W,Not publicly traded,Industrials,Not for profit,Consumer Discretionary,Energy,609986,430440,163550,106600,93450
AK|S|JAMES|SYKES|2004,2004,AK,JAMES,SYKES,S,JAMES L SYKES,I,0.077800134,2982,0,3053,0.0099,L,Not for profit,Materials,Consumer Staples,NULL,NULL,1750,1000,232,0,0
AK|S|LISA|MURKOWSKI|2004,2004,AK,LISA,MURKOWSKI,S,LISA MURKOWSKI,R,0.06197184,2794608,1,149773,0.4858,W,Not for profit,Not publicly traded,Financials,Energy,Industrials,837182,615516,380181,202063,175100
AK|S|TONY|KNOWLES|2004,2004,AK,TONY,KNOWLES,S,TONY KNOWLES,D,0.059538995,3167084,0,140424,0.4555,L,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Other,1376201,1122760,425740,188565,53818
AL|1|JO|BONNER|2004,2004,AL,JO,BONNER,1,JO BONNER,R,0.053667112,712727,1,161067,0.6312,W,Not publicly traded,Not for profit,Consumer Staples,Financials,Materials,226394,156806,91811,59900,55000
AL|1|JUDY|BELK|2004,2004,AL,JUDY,BELK,1,JUDY MCCAIN BELK,D,0.041890612,137310,0,93938,0.3681,L,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Materials,62250,54231,5950,5752,2750
AL|2|CHARLES|JAMES|2004,2004,AL,CHARLES,JAMES,2,CHARLES D JAMES,D,1,300,0,70562,0.2846,L,Not for profit,NULL,NULL,NULL,NULL,300,0,0,0,0
AL|2|TERRY|EVERETT|2004,2004,AL,TERRY,EVERETT,2,TERRY EVERETT,R,0.091366472,496900,1,177086,0.7142,W,Industrials,Not publicly traded,Consumer Staples,Financials,Not for profit,147200,100500,77300,56900,52600
AL|3|BILL|FULLER|2004,2004,AL,BILL,FULLER,3,BILL FULLER,D,0.012397328,221822,0,95240,0.3875,L,Not for profit,Not publicly traded,Financials,Consumer Discretionary,Materials,125650,86995,3265,2750,1162
AL|3|MIKE|ROGERS|2004,2004,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,0.052821384,1260853,1,150411,0.612,W,Not for profit,Not publicly traded,Industrials,Financials,Consumer Discretionary,415553,301003,148249,146523,66600
AL|4|CARL|COLE|2004,2004,AL,CARL,COLE,4,CARL ALLEN COLE III,D,0.054347826,18400,0,64278,0.2514,L,Not publicly traded,Not for profit,Materials,Industrials,Utilities,10900,4000,2000,1000,500
AL|4|ROBERT|ADERHOLT|2004,2004,AL,ROBERT,ADERHOLT,4,ROBERT B ADERHOLT,R,0.144807517,390035,1,191110,0.7473,W,Industrials,Not publicly traded,Consumer Discretionary,Not for profit,Financials,136828,63414,56480,45505,25012
AL|5|BUD|CRAMER|2004,2004,AL,BUD,CRAMER,5,BUD CRAMER,D,0.130319834,481124,1,200999,0.7297,W,Industrials,Not publicly traded,Not for profit,Consumer Discretionary,Financials,149900,84872,71550,62700,32500
AL|5|GERALD|WALLACE|2004,2004,AL,GERALD,WALLACE,5,GERALD WALLACE,R,0.028700338,7979,0,74145,0.2692,L,Not for profit,Not publicly traded,Financials,Consumer Discretionary,NULL,7000,500,250,229,0
AL|6|SPENCER|BACHUS|2004,2004,AL,SPENCER,BACHUS,6,SPENCER BACHUS,R,0.022929653,1123000,1,264819,0.988,W,Financials,Not publicly traded,Not for profit,Industrials,Materials,613069,266681,67500,57750,42250
AL|7|ARTUR|DAVIS|2004,2004,AL,ARTUR,DAVIS,7,ARTUR DAVIS,D,0.025864783,666930,1,183408,0.7497,W,Not publicly traded,Financials,Not for profit,Utilities,Materials,249382,167088,150952,18950,17586
AL|S|RICHARD|SHELBY|2004,2004,AL,RICHARD,SHELBY,S,RICHARD C SHELBY,R,0.042558757,5298792,1,1242200,0.6755,W,Not publicly traded,Financials,Industrials,Consumer Discretionary,Materials,2192857,1667137,792108,225510,174065
AL|S|WAYNE|SOWELL|2004,2004,AL,WAYNE,SOWELL,S,WAYNE SOWELL,D,1,300,0,595018,0.3235,L,Not for profit,NULL,NULL,NULL,NULL,300,0,0,0,0
AR|1|MARION|BERRY|2004,2004,AR,MARION,BERRY,1,MARION BERRY,D,0.055296673,681777,1,162388,0.6657,W,Not for profit,Consumer Staples,Not publicly traded,Financials,Consumer Discretionary,240450,213050,99350,46450,37700
AR|1|VERNON|HUMPHREY|2004,2004,AR,VERNON,HUMPHREY,1,VERNON WOODROW HUMPHREY,R,0.2,2500,0,81556,0.3343,L,Not for profit,Consumer Staples,NULL,NULL,NULL,2000,500,0,0,0
AR|2|MARVIN|PARKS|2004,2004,AR,MARVIN,PARKS,2,MARVIN PARKS,R,0.076911658,303140,0,115655,0.4183,L,Not for profit,Not publicly traded,Financials,Health Care,Consumer Discretionary,111525,58100,37850,24050,23315
AR|2|VIC|SNYDER|2004,2004,AR,VIC,SNYDER,2,VIC SNYDER,D,0.094301831,461815,1,160834,0.5817,W,Not for profit,Not publicly traded,Consumer Discretionary,Financials,Industrials,232075,122390,43550,24500,13500
AR|3|DALE|MORFEY|2004,2004,AR,DALE,MORFEY,3,DALE WILLIAM MORFEY,I,1,1500,0,7016,0.0259,L,Not for profit,NULL,NULL,NULL,NULL,1500,0,0,0,0
AR|3|JAN|JUDY|2004,2004,AR,JAN,JUDY,3,JAN JUDY,D,0.05022871,171615,0,103158,0.3809,L,Not for profit,Not publicly traded,Consumer Discretionary,Financials,Other,106445,33100,8620,7200,6750
AR|3|JOHN|BOOZMAN|2004,2004,AR,JOHN,BOOZMAN,3,JOHN BOOZMAN,R,0.121960161,354624,1,160629,0.5932,W,Not for profit,Financials,Consumer Discretionary,Not publicly traded,Consumer Staples,78140,52573,43250,42040,41226
AR|4|MIKE|ROSS|2004,2004,AR,MIKE,ROSS,4,MIKE ROSS,D,0.05864693,786094,1,NA,NA,L,Not for profit,Financials,Not publicly traded,Consumer Discretionary,Consumer Staples,266675,171700,155981,46102,30850
AR|S|BLANCHE|LINCOLN|2004,2004,AR,BLANCHE,LINCOLN,S,BLANCHE LINCOLN,D,0.089049337,3205459,1,580973,0.559,W,Financials,Not publicly traded,Not for profit,Health Care,Consumer Discretionary,668041,657899,631747,400418,285444
AR|S|JIM|HOLT|2004,2004,AR,JIM,HOLT,S,JIM HOLT,R,0.083419357,56186,0,458036,0.4407,L,Not for profit,Materials,Consumer Staples,Not publicly traded,Consumer Discretionary,27200,6500,6300,5999,4687
AZ|1|PAUL|BABBITT|2004,2004,AZ,PAUL,BABBITT,1,PAUL BABBITT,D,0.039332021,846613,0,91776,0.3622,L,Not for profit,Not publicly traded,Consumer Discretionary,Financials,Consumer Staples,570060,179439,33299,16250,16200
AZ|1|RICK|RENZI|2004,2004,AZ,RICK,RENZI,1,RICK RENZI,R,0.111033631,1411122,1,148315,0.5854,W,Not for profit,Financials,Not publicly traded,Consumer Discretionary,Energy,551459,356269,185680,156682,65895
AZ|2|RANDY|CAMACHO|2004,2004,AZ,RANDY,CAMACHO,2,RANDY CAMACHO,D,0.062893082,71550,0,107406,0.3846,L,Not for profit,Consumer Discretionary,Not publicly traded,Consumer Staples,Industrials,60900,4500,4050,1850,250
AZ|2|TRENT|FRANKS|2004,2004,AZ,TRENT,FRANKS,2,TRENT FRANKS,R,0.137897861,413712,1,165260,0.5917,W,Not for profit,Not publicly traded,Consumer Discretionary,Consumer Staples,Industrials,137433,81716,57050,35763,32000
AZ|3|JOHN|SHADEGG|2004,2004,AZ,JOHN,SHADEGG,3,JOHN SHADEGG,R,0.201177387,572624,1,181012,0.801,W,Not for profit,Financials,Consumer Discretionary,Not publicly traded,Health Care,147873,117200,115199,76712,45940
