letter	frequency
04-0.1	0
04-0.2	0
04-0.3	0.00244498777506
04-0.4	0.00244498777506
04-0.5	0.0171149144254
04-0.6	0.041564792176
04-0.7	0.0709046454768
04-0.8	0.0537897310513
04-0.9	0.0904645476773
04-1.0	0.721271393643
 	0
06-0.1	0
06-0.2	0.00255754475703
06-0.3	0.00255754475703
06-0.4	0.0230179028133
06-0.5	0.0204603580563
06-0.6	0.0434782608696
06-0.7	0.0511508951407
06-0.8	0.0562659846547
06-0.9	0.0818414322251
06-1.0	0.718670076726
  	0
08-0.1	0
08-0.2	0
08-0.3	0.010152284264
08-0.4	0.0152284263959
08-0.5	0.0431472081218
08-0.6	0.0659898477157
08-0.7	0.0558375634518
08-0.8	0.0659898477157
08-0.9	0.0888324873096
08-1.0	0.654822335025
   	0
10-0.1	0
10-0.2	0.00733496332518
10-0.3	0.0171149144254
10-0.4	0.0440097799511
10-0.5	0.0684596577017
10-0.6	0.0660146699267
10-0.7	0.0684596577017
10-0.8	0.0733496332518
10-0.9	0.124694376528
10-1.0	0.530562347188
10-1.0	0.530562347188
     	0
12-0.1	0
12-0.2	0
12-0.3	0.00253807106599
12-0.4	0.0177664974619
12-0.5	0.0380710659898
12-0.6	0.0431472081218
12-0.7	0.0913705583756
12-0.8	0.0583756345178
12-0.9	0.0989847715736
12-1.0	0.649746192893
     	0
             	0
