ID,YEAR,STATE,FIRST,LAST,DISTRICT,CANDIDATE,PARTY,CANDTOTAL,WINNER,RaceFundPerc
DONYOUNG2010AK1,2010,AK,DON,YOUNG,1,DON YOUNG,R,575120,1,0.845499865
HARRYCRAWFORD2010AK1,2010,AK,HARRY,CRAWFORD,1,HARRY CRAWFORD,D,105093,0,0.154500135
JOEMILLER2010AKS,2010,AK,JOE,MILLER,S,JOE MILLER,R,1146625,0,0.272622463
SCOTTMCADAMS2010AKS,2010,AK,SCOTT,MCADAMS,S,SCOTT MCADAMS,D,422918,0,0.100553317
JOBONNER2010AL1,2010,AL,JO,BONNER,1,JO BONNER,R,560033,1,1
MARTHAROBY2010AL2,2010,AL,MARTHA,ROBY,2,MARTHA ROBY,R,765001,1,0.492428836
BOBBYBRIGHT2010AL2,2010,AL,BOBBY,BRIGHT,2,BOBBY BRIGHT,D,788525,0,0.507571164
MIKEROGERS2010AL3,2010,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,640897,1,0.992258828
ROBERTADERHOLT2010AL4,2010,AL,ROBERT,ADERHOLT,4,ROBERT B ADERHOLT,R,423156,1,1
STEPHENRABY2010AL5,2010,AL,STEPHEN,RABY,5,STEPHEN RABY,D,536370,0,0.514882907
MOBROOKS2010AL5,2010,AL,MO,BROOKS,5,MO BROOKS,R,505362,1,0.485117093
SPENCERBACHUS2010AL6,2010,AL,SPENCER,BACHUS,6,SPENCER BACHUS,R,1216760,1,1
TERRISEWELL2010AL7,2010,AL,TERRI,SEWELL,7,TERRI A SEWELL,D,1043618,1,0.993762903
DONCHAMBERLAIN2010AL7,2010,AL,DON,CHAMBERLAIN,7,DON CHAMBERLAIN,R,6550,0,0.006237097
CHADCAUSEY2010AR1,2010,AR,CHAD,CAUSEY,1,CHAD CAUSEY,D,920562,0,0.579646065
RICKCRAWFORD2010AR1,2010,AR,RICK,CRAWFORD,1,RICK CRAWFORD,R,667583,1,0.420353935
TIMGRIFFIN2010AR2,2010,AR,TIM,GRIFFIN,2,TIM GRIFFIN,R,1083841,1,0.634509006
JOYCEELLIOTT2010AR2,2010,AR,JOYCE,ELLIOTT,2,JOYCE ELLIOTT,D,624316,0,0.365490994
STEVEWOMACK2010AR3,2010,AR,STEVE,WOMACK,3,STEVE WOMACK,R,417608,1,0.948337489
DAVIDWHITAKER2010AR3,2010,AR,DAVID,WHITAKER,3,DAVID JEFFREY WHITAKER,D,22750,0,0.051662511
BETHRANKIN2010AR4,2010,AR,BETH,RANKIN,4,BETH ANNE RANKIN,R,262905,0,0.15897025
MIKEROSS2010AR4,2010,AR,MIKE,ROSS,4,MIKE ROSS,D,1390895,1,0.84102975
TREVORDROWN2010ARS,2010,AR,TREVOR,DROWN,S,TREVOR DROWN,I,18850,0,0.001955163
PAULGOSAR2010AZ1,2010,AZ,PAUL,GOSAR,1,PAUL GOSAR,R,780931,1,0.397069359
ANNKIRKPATRICK2010AZ1,2010,AZ,ANN,KIRKPATRICK,1,ANN KIRKPATRICK,D,1185806,0,0.602930641
TRENTFRANKS2010AZ2,2010,AZ,TRENT,FRANKS,2,TRENT FRANKS,R,313762,1,0.979398306
JOHNTHRASHER2010AZ2,2010,AZ,JOHN,THRASHER,2,JOHN THRASHER,D,6600,0,0.020601694
BENQUAYLE2010AZ3,2010,AZ,BEN,QUAYLE,3,BEN QUAYLE,R,1691689,1,0.692444784
JONHULBURD2010AZ3,2010,AZ,JON,HULBURD,3,JON HULBURD,D,751378,0,0.307555216
EDPASTOR2010AZ4,2010,AZ,ED,PASTOR,4,ED PASTOR,D,657118,1,0.973832759
JANETCONTRERAS2010AZ4,2010,AZ,JANET,CONTRERAS,4,JANET L CONTRERAS,R,17657,0,0.026167241
HARRYMITCHELL2010AZ5,2010,AZ,HARRY,MITCHELL,5,HARRY MITCHELL,D,1196617,0,0.597034429
DAVIDSCHWEIKERT2010AZ5,2010,AZ,DAVID,SCHWEIKERT,5,DAVID SCHWEIKERT,R,807651,1,0.402965571
JEFFFLAKE2010AZ6,2010,AZ,JEFF,FLAKE,6,JEFF FLAKE,R,302550,1,1
RUTHMCCLUNG2010AZ7,2010,AZ,RUTH,MCCLUNG,7,RUTH MCCLUNG,R,287450,0,0.266854193
RAULGRIJALVA2010AZ7,2010,AZ,RAUL,GRIJALVA,7,RAUL M GRIJALVA,D,789730,1,0.733145807
