ID,YEAR,STATE,FIRST,LAST,DISTRICT,CANDIDATE,PARTY,CANDTOTAL,WINNER,RaceFundPerc
DONYOUNG2006AK1,2006,AK,DON,YOUNG,1,DON YOUNG,R,1150881,1,0.95841897
DIANEBENSON2006AK1,2006,AK,DIANE,BENSON,1,DIANE E BENSON,D,49931,0,0.04158103
JOBONNER2006AL1,2006,AL,JO,BONNER,1,JO BONNER,R,615907,1,0.985765068
TERRYEVERETT2006AL2,2006,AL,TERRY,EVERETT,2,TERRY EVERETT,R,516745,1,0.991091122
MIKEROGERS2006AL3,2006,AL,MIKE,ROGERS,3,MIKE D ROGERS,R,883120,1,0.99571551
GREGPIERCE2006AL3,2006,AL,GREG,PIERCE,3,GREG A PIERCE,D,3800,0,0.00428449
ROBERTADERHOLT2006AL4,2006,AL,ROBERT,ADERHOLT,4,ROBERT B ADERHOLT,R,382427,1,1
BUDCRAMER2006AL5,2006,AL,BUD,CRAMER,5,BUD CRAMER,D,573711,1,1
SPENCERBACHUS2006AL6,2006,AL,SPENCER,BACHUS,6,SPENCER BACHUS,R,1246661,1,1
ARTURDAVIS2006AL7,2006,AL,ARTUR,DAVIS,7,ARTUR DAVIS,D,521050,1,1
MICKEYSTUMBAUGH2006AR1,2006,AR,MICKEY,STUMBAUGH,1,MICKEY STUBBY STUMBAUGH,R,36625,0,0.044768968
MARIONBERRY2006AR1,2006,AR,MARION,BERRY,1,MARION BERRY,D,781464,1,0.955231032
ANDYMAYBERRY2006AR2,2006,AR,ANDY,MAYBERRY,2,ANDY JOSEPH MAYBERRY,R,31768,0,0.081387961
VICSNYDER2006AR2,2006,AR,VIC,SNYDER,2,VIC SNYDER,D,358560,1,0.918612039
JOHNBOOZMAN2006AR3,2006,AR,JOHN,BOOZMAN,3,JOHN BOOZMAN,R,324036,1,0.876561879
WOODROWANDERSON2006AR3,2006,AR,WOODROW,ANDERSON,3,WOODROW WILSON ANDERSON,D,45631,0,0.123438121
MIKEROSS2006AR4,2006,AR,MIKE,ROSS,4,MIKE ROSS,D,793850,1,1
ELLENSIMON2006AZ1,2006,AZ,ELLEN,SIMON,1,ELLEN SIMON,D,504711,0,0.288501244
DAVIDSCHLOSSER2006AZ1,2006,AZ,DAVID,SCHLOSSER,1,DAVID B SCHLOSSER,I,11450,0,0.006545011
RICKRENZI2006AZ1,2006,AZ,RICK,RENZI,1,RICK RENZI,R,1233263,1,0.704953745
JOHNTHRASHER2006AZ2,2006,AZ,JOHN,THRASHER,2,JOHN THRASHER,D,15570,0,0.061829878
TRENTFRANKS2006AZ2,2006,AZ,TRENT,FRANKS,2,TRENT FRANKS,R,236250,1,0.938170122
HERBPAINE2006AZ3,2006,AZ,HERB,PAINE,3,HERB PAINE,D,43563,0,0.059437511
JOHNSHADEGG2006AZ3,2006,AZ,JOHN,SHADEGG,3,JOHN SHADEGG,R,689358,1,0.940562489
EDPASTOR2006AZ4,2006,AZ,ED,PASTOR,4,ED PASTOR,D,694349,1,1
HARRYMITCHELL2006AZ5,2006,AZ,HARRY,MITCHELL,5,HARRY MITCHELL,D,1077964,1,0.393077091
JHAYWORTH2006AZ5,2006,AZ,J,HAYWORTH,5,J D HAYWORTH,R,1664409,0,0.606922909
JEFFFLAKE2006AZ6,2006,AZ,JEFF,FLAKE,6,JEFF FLAKE,R,325298,1,1
RAULGRIJALVA2006AZ7,2006,AZ,RAUL,GRIJALVA,7,RAUL M GRIJALVA,D,405851,1,0.785960231
RONDRAKE2006AZ7,2006,AZ,RON,DRAKE,7,RON DRAKE,R,110525,0,0.214039769
RANDYGRAF2006AZ8,2006,AZ,RANDY,GRAF,8,RANDY GRAF,R,591588,0,0.288116698
DAVIDNOLAN2006AZ8,2006,AZ,DAVID,NOLAN,8,DAVID F NOLAN,I,14500,0,0.007061827
GABRIELLEGIFFORDS2006AZ8,2006,AZ,GABRIELLE,GIFFORDS,8,GABRIELLE GIFFORDS,D,1446955,1,0.704699719
